Specimen properties : Length,"100.00000",mm
Specimen properties : Thickness,"1.00000",mm
Specimen properties : Width,"10.00000",mm
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"8.80000","0.73344","3141.99023"
"8.85000","0.73766","3163.11084"
"8.90000","0.74187","3183.66113"
"8.95000","0.74600","3204.68018"
"9.00000","0.75003","3224.91748"
"9.05000","0.75434","3247.79224"
"9.10000","0.75855","3268.00342"
"9.15000","0.76268","3289.53564"
"9.20000","0.76680","3309.04419"
"9.25000","0.77111","3329.42725"
"9.30000","0.77523","3349.37012"
"9.35000","0.77936","3369.26904"
"9.40000","0.78357","3384.44604"
"9.45000","0.78770","3407.67773"
"9.50000","0.79182","3427.19629"
"9.55000","0.79594","3447.91113"
"9.60000","0.80016","3468.73145"
"9.65000","0.80428","3489.34351"
"9.70000","0.80850","3509.92749"
"9.75000","0.81262","3530.77124"
"9.80000","0.81675","3551.44141"
"9.85000","0.82096","3571.48950"
"9.90000","0.82518","3590.98804"
"9.95000","0.82930","3612.45508"
"10.00000","0.83343","3633.66577"
"10.05000","0.83764","3654.21802"
"10.10000","0.84186","3675.83081"
"10.15000","0.84598","3696.86182"
"10.20000","0.85011","3717.70337"
"10.25000","0.85432","3739.09741"
"10.30000","0.85845","3759.96411"
"10.35000","0.86266","3784.30518"
"10.40000","0.86697","3805.72900"
"10.45000","0.87100","3826.40625"
"10.50000","0.87522","3848.64185"
"10.55000","0.87934","3868.76172"
"10.60000","0.88356","3888.19116"
"10.65000","0.88759","3909.23682"
"10.70000","0.89181","3930.91357"
"10.75000","0.89602","3951.54736"
"10.80000","0.90015","3972.62646"
"10.85000","0.90427","3992.77466"
"10.90000","0.90839","4014.42383"
"10.95000","0.91261","4036.01709"
"11.00000","0.91673","4056.91260"
"11.05000","0.92085","4077.56055"
"11.10000","0.92516","4099.17773"
"11.15000","0.92938","4121.23242"
"11.20000","0.93350","4141.09473"
"11.25000","0.93753","4162.17871"
"11.30000","0.94184","4182.43994"
"11.35000","0.94597","4203.76465"
"11.40000","0.95018","4223.14258"
"11.45000","0.95440","4244.51270"
"11.50000","0.95852","4266.75439"
"11.55000","0.96265","4288.43018"
"11.60000","0.96677","4309.63135"
"11.65000","0.97099","4331.83105"
"11.70000","0.97511","4352.82275"
"11.75000","0.97933","4374.35107"
"11.80000","0.98345","4396.59814"
"11.85000","0.98757","4417.76611"
"11.90000","0.99179","4438.68604"
"11.95000","0.99601","4460.95508"
"12.00000","1.00004","4483.97314"
"12.05000","1.00435","4505.85840"
"12.10000","1.00847","4526.42188"
"12.15000","1.01269","4549.49463"
"12.20000","1.01681","4571.34717"
"12.25000","1.02103","4594.42188"
"12.30000","1.02515","4616.25000"
"12.35000","1.02909","4637.28174"
"12.40000","1.03358","4658.15967"
"12.45000","1.03771","4680.93066"
"12.50000","1.04183","4706.56738"
"12.55000","1.04605","4730.35254"
"12.60000","1.05017","4753.61963"
"12.65000","1.05439","4776.75342"
"12.70000","1.05851","4800.41016"
"12.75000","1.06263","4822.98730"
"12.80000","1.06676","4845.50488"
"12.85000","1.07097","4868.34180"
"12.90000","1.07510","4891.61475"
"12.95000","1.07931","4914.23779"
"13.00000","1.08344","4937.42383"
"13.05000","1.08756","4960.36523"
"13.10000","1.09187","4986.14160"
"13.15000","1.09609","5009.97900"
"13.20000","1.10021","5033.45654"
"13.25000","1.10433","5055.26318"
"13.30000","1.10855","5077.90869"
"13.35000","1.11267","5103.21875"
"13.40000","1.11689","5123.85986"
"13.45000","1.12101","5139.87354"
"13.50000","1.12513","5167.11572"
"13.55000","1.12926","5189.97217"
"13.60000","1.13357","5212.27539"
"13.65000","1.13760","5236.32080"
"13.70000","1.14181","5259.29785"
"13.75000","1.14603","5283.67383"
"13.80000","1.15015","5305.90967"
"13.85000","1.15428","5329.98340"
"13.90000","1.15849","5354.12549"
"13.95000","1.16262","5378.03809"
"14.00000","1.16674","5402.12109"
"14.05000","1.17096","5426.25098"
"14.10000","1.17517","5450.08252"
"14.15000","1.17930","5475.15234"
"14.20000","1.18351","5499.41553"
"14.25000","1.18764","5523.99707"
"14.30000","1.19185","5548.78027"
"14.35000","1.19598","5573.52246"
"14.40000","1.20029","5603.74365"
"14.45000","1.20441","5627.46240"
"14.50000","1.20853","5651.36377"
"14.55000","1.21266","5676.69287"
"14.60000","1.21687","5700.41504"
"14.65000","1.22100","5724.81787"
"14.70000","1.22512","5749.16064"
"14.75000","1.22934","5774.78418"
"14.80000","1.23346","5799.06299"
"14.85000","1.23758","5824.75146"
"14.90000","1.24171","5849.39746"
"14.95000","1.24592","5874.65674"
"15.00000","1.25014","5899.95996"
"15.05000","1.25426","5925.44775"
"15.10000","1.25848","5947.13574"
"15.15000","1.26260","5975.47510"
"15.20000","1.26682","6001.10498"
"15.25000","1.27094","6024.86914"
"15.30000","1.27525","6051.39746"
"15.35000","1.27938","6075.83984"
"15.40000","1.28350","6100.97607"
"15.45000","1.28781","6121.70117"
"15.50000","1.29184","6148.20801"
"15.55000","1.29596","6175.11914"
"15.60000","1.30018","6199.88623"
"15.65000","1.30430","6225.10010"
"15.70000","1.30842","6251.28320"
"15.75000","1.31264","6276.71094"
"15.80000","1.31676","6302.85889"
"15.85000","1.32098","6327.84375"
"15.90000","1.32510","6354.27441"
"15.95000","1.32932","6380.31885"
"16.00000","1.33344","6406.58936"
"16.05000","1.33757","6433.13965"
"16.10000","1.34188","6458.14990"
"16.15000","1.34600","6482.83154"
"16.20000","1.35012","6510.20264"
"16.25000","1.35434","6536.49707"
"16.30000","1.35856","6562.73291"
"16.35000","1.36259","6589.01953"
"16.40000","1.36680","6614.06689"
"16.45000","1.37111","6642.19727"
"16.50000","1.37514","6665.99707"
"16.55000","1.37927","6697.07275"
"16.60000","1.38348","6727.13965"
"16.65000","1.38770","6751.66455"
"16.70000","1.39182","6777.42969"
"16.75000","1.39595","6805.50049"
"16.80000","1.40016","6831.27197"
"16.85000","1.40429","6858.06787"
"16.90000","1.40841","6884.71924"
"16.95000","1.41263","6911.25684"
"17.00000","1.41684","6938.50586"
"17.05000","1.42097","6964.35254"
"17.10000","1.42500","6990.89746"
"17.15000","1.42931","7019.93457"
"17.20000","1.43352","7047.27637"
"17.25000","1.43765","7073.11768"
"17.30000","1.44186","7098.67041"
"17.35000","1.44599","7125.17139"
"17.40000","1.45030","7154.54834"
"17.45000","1.45451","7178.04785"
"17.50000","1.45854","7196.93359"
"17.55000","1.46267","7226.98633"
"17.60000","1.46688","7253.00098"
"17.65000","1.47101","7280.69629"
"17.70000","1.47513","7306.28662"
"17.75000","1.47925","7330.68652"
"17.80000","1.48347","7357.44092"
"17.85000","1.48759","7385.48193"
"17.90000","1.49171","7412.67822"
"17.95000","1.49593","7438.68701"
"18.00000","1.50005","7462.26904"
"18.05000","1.50427","7491.44775"
"18.10000","1.50849","7518.49023"
"18.15000","1.51261","7545.09814"
"18.20000","1.51673","7573.61133"
"18.25000","1.52095","7600.18994"
"18.30000","1.52507","7626.20801"
"18.35000","1.52929","7657.78564"
"18.40000","1.53351","7683.78223"
"18.45000","1.53772","7719.88281"
"18.50000","1.54185","7744.06055"
"18.55000","1.54597","7769.89746"
"18.60000","1.55019","7799.63428"
"18.65000","1.55440","7825.93945"
"18.70000","1.55843","7853.27979"
"18.75000","1.56256","7878.98975"
"18.80000","1.56687","7906.69922"
"18.85000","1.57099","7933.92285"
"18.90000","1.57511","7962.32812"
"18.95000","1.57924","7988.16016"
"19.00000","1.58345","8016.15479"
"19.05000","1.58767","8045.36475"
"19.10000","1.59179","8072.84033"
"19.15000","1.59592","8098.56348"
"19.20000","1.60023","8128.66260"
"19.25000","1.60426","8156.03564"
"19.30000","1.60847","8181.43994"
"19.35000","1.61278","8208.90625"
"19.40000","1.61681","8235.58496"
"19.45000","1.62103","8262.28516"
"19.50000","1.62515","8287.13867"
"19.55000","1.62928","8315.83105"
"19.60000","1.63349","8343.05762"
"19.65000","1.63762","8370.92969"
"19.70000","1.64174","8398.04102"
"19.75000","1.64596","8426.01758"
"19.80000","1.65008","8452.68164"
"19.85000","1.65430","8479.68066"
"19.90000","1.65842","8507.35059"
"19.95000","1.66264","8534.75977"
"20.00000","1.66685","8561.51172"
"20.05000","1.67088","8589.62500"
"20.10000","1.67510","8617.67871"
"20.15000","1.67932","8643.59668"
"20.20000","1.68344","8671.63086"
"20.25000","1.68766","8698.82520"
"20.30000","1.69187","8726.26758"
"20.35000","1.69600","8754.19824"
"20.40000","1.70012","8782.39941"
"20.45000","1.70434","8809.94238"
"20.50000","1.70865","8836.86328"
"20.55000","1.71258","8863.08594"
"20.60000","1.71689","8895.04688"
"20.65000","1.72101","8923.48145"
"20.70000","1.72514","8952.14258"
"20.75000","1.72935","8981.20898"
"20.80000","1.73348","9009.29883"
"20.85000","1.73760","9035.75684"
"20.90000","1.74182","9062.80176"
"20.95000","1.74594","9089.88965"
"21.00000","1.75016","9118.20215"
"21.05000","1.75428","9147.05176"
"21.10000","1.75840","9175.14453"
"21.15000","1.76253","9202.46582"
"21.20000","1.76674","9232.21484"
"21.25000","1.77096","9261.99707"
"21.30000","1.77518","9288.50098"
"21.35000","1.77939","9313.92871"
"21.40000","1.78361","9341.40723"
"21.45000","1.78764","9371.08496"
"21.50000","1.79186","9396.01660"
"21.55000","1.79607","9417.34961"
"21.60000","1.80010","9445.17969"
"21.65000","1.80423","9474.17773"
"21.70000","1.80844","9500.75977"
"21.75000","1.81266","9528.85449"
"21.80000","1.81678","9553.20996"
"21.85000","1.82100","9580.47168"
"21.90000","1.82512","9608.24707"
"21.95000","1.82934","9634.54199"
"22.00000","1.83356","9661.21582"
"22.05000","1.83768","9688.29980"
"22.10000","1.84180","9715.28125"
"22.15000","1.84602","9742.55078"
"22.20000","1.85014","9769.15332"
"22.25000","1.85436","9797.49121"
"22.30000","1.85858","9824.01074"
"22.35000","1.86270","9850.86426"
"22.40000","1.86682","9880.48047"
"22.45000","1.87095","9906.11328"
"22.50000","1.87526","9938.48145"
"22.55000","1.87938","9963.76855"
"22.60000","1.88350","9988.74023"
"22.65000","1.88772","10017.14355"
"22.70000","1.89184","10042.45508"
"22.75000","1.89587","10069.15820"
"22.80000","1.90009","10095.13770"
"22.85000","1.90431","10122.50195"
"22.90000","1.90843","10150.12012"
"22.95000","1.91255","10177.03125"
"23.00000","1.91677","10202.20996"
"23.05000","1.92098","10227.81250"
"23.10000","1.92511","10256.72852"
"23.15000","1.92923","10282.05273"
"23.20000","1.93345","10308.41016"
"23.25000","1.93766","10337.34375"
"23.30000","1.94179","10362.66699"
"23.35000","1.94600","10387.29590"
"23.40000","1.95013","10413.88672"
"23.45000","1.95425","10440.51465"
"23.50000","1.95865","10463.26953"
"23.55000","1.96259","10481.74707"
"23.60000","1.96681","10511.30371"
"23.65000","1.97093","10539.26172"
"23.70000","1.97515","10565.02637"
"23.75000","1.97927","10590.18555"
"23.80000","1.98339","10615.56641"
"23.85000","1.98761","10640.51855"
"23.90000","1.99183","10665.77637"
"23.95000","1.99586","10690.27441"
"24.00000","2.00017","10715.84570"
"24.05000","2.00438","10738.65918"
"24.10000","2.00851","10762.91016"
"24.15000","2.01263","10789.26074"
"24.20000","2.01685","10813.43359"
"24.25000","2.02097","10838.02539"
"24.30000","2.02519","10863.37305"
"24.35000","2.02940","10886.70703"
"24.40000","2.03353","10912.35254"
"24.45000","2.03765","10936.12500"
"24.50000","2.04187","10960.99902"
"24.55000","2.04599","10983.77637"
"24.60000","2.05011","11007.41895"
"24.65000","2.05433","11035.23438"
"24.70000","2.05855","11062.63379"
"24.75000","2.06267","11084.32227"
"24.80000","2.06679","11107.68262"
"24.85000","2.07101","11133.24609"
"24.90000","2.07513","11156.36035"
"24.95000","2.07926","11180.07812"
"25.00000","2.08347","11202.87598"
"25.05000","2.08769","11225.83789"
"25.10000","2.09181","11251.35449"
"25.15000","2.09593","11272.03809"
"25.20000","2.10006","11296.97949"
"25.25000","2.10437","11322.52148"
"25.30000","2.10849","11345.82129"
"25.35000","2.11271","11367.58105"
"25.40000","2.11693","11388.33789"
"25.45000","2.12095","11410.62207"
"25.50000","2.12517","11431.98340"
"25.55000","2.12939","11452.94727"
"25.60000","2.13342","11472.91895"
"25.65000","2.13763","11496.12109"
"25.70000","2.14185","11518.33594"
"25.75000","2.14597","11540.66895"
"25.80000","2.15010","11562.10938"
"25.85000","2.15431","11582.60840"
"25.90000","2.15853","11604.64941"
"25.95000","2.16256","11626.47070"
"26.00000","2.16678","11647.72168"
"26.05000","2.17099","11668.47168"
"26.10000","2.17512","11689.05664"
"26.15000","2.17933","11708.82520"
"26.20000","2.18346","11728.69629"
"26.25000","2.18767","11750.60156"
"26.30000","2.19180","11771.52441"
"26.35000","2.19611","11793.10547"
"26.40000","2.20023","11812.30371"
"26.45000","2.20426","11831.96875"
"26.50000","2.20848","11859.43457"
"26.55000","2.21269","11884.70898"
"26.60000","2.21682","11898.73828"
"26.65000","2.22094","11917.21484"
"26.70000","2.22516","11936.64453"
"26.75000","2.22928","11956.29199"
"26.80000","2.23331","11975.70898"
"26.85000","2.23753","11996.09766"
"26.90000","2.24174","12016.71973"
"26.95000","2.24596","12035.47754"
"27.00000","2.25008","12054.95703"
"27.05000","2.25430","12073.17480"
"27.10000","2.25842","12093.30957"
"27.15000","2.26264","12114.38965"
"27.20000","2.26686","12132.13477"
"27.25000","2.27098","12148.47852"
"27.30000","2.27520","12170.50293"
"27.35000","2.27932","12188.28516"
"27.40000","2.28354","12205.05859"
"27.45000","2.28766","12221.22656"
"27.50000","2.29178","12241.29492"
"27.55000","2.29609","12256.26953"
"27.60000","2.30012","12267.83203"
"27.65000","2.30424","12288.68457"
"27.70000","2.30846","12309.18945"
"27.75000","2.31268","12326.68848"
"27.80000","2.31671","12343.34277"
"27.85000","2.32102","12360.78711"
"27.90000","2.32514","12376.80078"
"27.95000","2.32936","12392.99316"
"28.00000","2.33348","12409.98047"
"28.05000","2.33770","12426.48730"
"28.10000","2.34191","12443.15625"
"28.15000","2.34604","12459.60645"
"28.20000","2.35016","12476.43652"
"28.25000","2.35447","12490.59277"
"28.30000","2.35850","12505.16016"
"28.35000","2.36272","12523.14941"
"28.40000","2.36693","12537.41699"
"28.45000","2.37106","12554.16602"
"28.50000","2.37518","12568.79004"
"28.55000","2.37930","12583.67188"
"28.60000","2.38361","12598.75000"
"28.65000","2.38764","12613.10156"
"28.70000","2.39195","12631.04395"
"28.75000","2.39598","12647.99512"
"28.80000","2.40011","12661.63477"
"28.85000","2.40432","12674.79102"
"28.90000","2.40854","12688.92480"
"28.95000","2.41266","12702.64551"
"29.00000","2.41679","12717.89648"
"29.05000","2.42100","12730.78320"
"29.10000","2.42522","12744.22363"
"29.15000","2.42944","12761.46289"
"29.20000","2.43356","12774.85352"
"29.25000","2.43768","12786.44922"
"29.30000","2.44190","12802.08984"
"29.35000","2.44612","12815.42676"
"29.40000","2.45033","12826.43066"
"29.45000","2.45455","12838.21484"
"29.50000","2.45849","12849.51562"
"29.55000","2.46270","12864.05957"
"29.60000","2.46683","12876.03223"
"29.65000","2.47095","12887.16504"
