Specimen properties : Length,"100.00000",mm
Specimen properties : Thickness,"1.00000",mm
Specimen properties : Width,"10.00000",mm
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"8.90000","0.74178","2475.76807"
"8.95000","0.74600","2494.71265"
"9.00000","0.75012","2512.77100"
"9.05000","0.75434","2531.20947"
"9.10000","0.75846","2550.26831"
"9.15000","0.76258","2568.58716"
"9.20000","0.76680","2587.00098"
"9.25000","0.77102","2605.59863"
"9.30000","0.77514","2624.29370"
"9.35000","0.77926","2642.90601"
"9.40000","0.78348","2661.15796"
"9.45000","0.78760","2679.98877"
"9.50000","0.79182","2697.87231"
"9.55000","0.79604","2717.03174"
"9.60000","0.80016","2735.29565"
"9.65000","0.80428","2754.13818"
"9.70000","0.80859","2772.71411"
"9.75000","0.81272","2790.66895"
"9.80000","0.81684","2809.75317"
"9.85000","0.82096","2828.11230"
"9.90000","0.82518","2845.79443"
"9.95000","0.82930","2864.39771"
"10.00000","0.83343","2881.47510"
"10.05000","0.83764","2899.28247"
"10.10000","0.84177","2918.24780"
"10.15000","0.84589","2936.06006"
"10.20000","0.85011","2953.23535"
"10.25000","0.85432","2971.25439"
"10.30000","0.85845","2989.26953"
"10.35000","0.86266","3006.97412"
"10.40000","0.86679","3023.99927"
"10.45000","0.87100","3041.81323"
"10.50000","0.87513","3059.51660"
"10.55000","0.87934","3076.50977"
"10.60000","0.88347","3093.81641"
"10.65000","0.88768","3111.71606"
"10.70000","0.89190","3129.62280"
"10.75000","0.89602","3147.72388"
"10.80000","0.90015","3165.97778"
"10.85000","0.90427","3183.27295"
"10.90000","0.90849","3201.18066"
"10.95000","0.91261","3219.09570"
"11.00000","0.91673","3237.49414"
"11.05000","0.92095","3255.25806"
"11.10000","0.92516","3273.12012"
"11.15000","0.92929","3290.99268"
"11.20000","0.93350","3308.95117"
"11.25000","0.93763","3326.78174"
"11.30000","0.94184","3344.66064"
"11.35000","0.94597","3363.20801"
"11.40000","0.95018","3380.24121"
"11.45000","0.95431","3399.31958"
"11.50000","0.95843","3417.40503"
"11.55000","0.96265","3435.41846"
"11.60000","0.96686","3453.43457"
"11.65000","0.97099","3471.12280"
"11.70000","0.97520","3490.34155"
"11.75000","0.97942","3509.51562"
"11.80000","0.98354","3527.44653"
"11.85000","0.98767","3546.43066"
"11.90000","0.99179","3563.87573"
"11.95000","0.99601","3582.42847"
"12.00000","1.00004","3601.52466"
"12.05000","1.00425","3619.87500"
"12.10000","1.00838","3638.10889"
"12.15000","1.01259","3656.14966"
"12.20000","1.01681","3674.74268"
"12.25000","1.02103","3693.53589"
"12.30000","1.02515","3711.84717"
"12.35000","1.02927","3730.61670"
"12.40000","1.03349","3748.41016"
"12.45000","1.03771","3767.15479"
"12.50000","1.04183","3785.76660"
"12.55000","1.04595","3804.35986"
"12.60000","1.05017","3822.78052"
"12.65000","1.05429","3841.81250"
"12.70000","1.05851","3859.65601"
"12.75000","1.06273","3878.62329"
"12.80000","1.06685","3897.79761"
"12.85000","1.07097","3916.10498"
"12.90000","1.07519","3934.70605"
"12.95000","1.07931","3953.43945"
"13.00000","1.08353","3973.07324"
"13.05000","1.08775","3991.65649"
"13.10000","1.09187","4010.24512"
"13.15000","1.09599","4029.28564"
"13.20000","1.10021","4047.34155"
"13.25000","1.10433","4064.81323"
"13.30000","1.10855","4083.52539"
"13.35000","1.11267","4103.15186"
"13.40000","1.11689","4121.99414"
"13.45000","1.12101","4140.73730"
"13.50000","1.12513","4161.57471"
"13.55000","1.12935","4180.04395"
"13.60000","1.13347","4199.52344"
"13.65000","1.13760","4219.23535"
"13.70000","1.14181","4238.80127"
"13.75000","1.14603","4257.02539"
"13.80000","1.15015","4276.02441"
"13.85000","1.15428","4296.89941"
"13.90000","1.15849","4316.50000"
"13.95000","1.16262","4335.94531"
"14.00000","1.16674","4355.66992"
"14.05000","1.17096","4374.90527"
"14.10000","1.17508","4395.46875"
"14.15000","1.17930","4415.21484"
"14.20000","1.18342","4435.92578"
"14.25000","1.18764","4455.05420"
"14.30000","1.19185","4474.43408"
"14.35000","1.19598","4494.88672"
"14.40000","1.20019","4515.25488"
"14.45000","1.20441","4534.93311"
"14.50000","1.20853","4555.70020"
"14.55000","1.21275","4575.84619"
"14.60000","1.21687","4595.54248"
"14.65000","1.22100","4615.53320"
"14.70000","1.22521","4636.09717"
"14.75000","1.22934","4656.45166"
"14.80000","1.23355","4676.71875"
"14.85000","1.23768","4696.21924"
"14.90000","1.24189","4715.98633"
"14.95000","1.24602","4736.73340"
"15.00000","1.25014","4757.70801"
"15.05000","1.25426","4777.74365"
"15.10000","1.25848","4798.66357"
"15.15000","1.26260","4820.14355"
"15.20000","1.26673","4840.74072"
"15.25000","1.27094","4861.39844"
"15.30000","1.27516","4881.81689"
"15.35000","1.27928","4902.80859"
"15.40000","1.28350","4922.99414"
