Specimen properties : Length,"100.00000",mm
Specimen properties : Thickness,"1.00000",mm
Specimen properties : Width,"10.00000",mm
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.27899"
"0.05000","0.00150","2.93663"
"0.10000","0.00525","4.82755"
"0.15000","0.00975","6.36179"
"0.20000","0.01434","7.81597"
"0.25000","0.01902","13.74924"
"0.30000","0.02361","28.29626"
"0.35000","0.02802","50.16841"
"0.40000","0.03252","74.07224"
"0.45000","0.03683","96.20050"
"0.50000","0.04123","111.55524"
"0.55000","0.04554","120.46825"
"0.60000","0.04976","122.46577"
"0.65000","0.05407","121.48669"
"0.70000","0.05838","121.23323"
"0.75000","0.06260","121.68671"
"0.80000","0.06672","121.39163"
"0.85000","0.07103","121.48383"
"0.90000","0.07515","121.83338"
"0.95000","0.07937","121.64724"
"1.00000","0.08359","121.10564"
"1.05000","0.08771","121.35563"
"1.10000","0.09183","122.22443"
"1.15000","0.09596","121.46741"
"1.20000","0.10017","121.51862"
"1.25000","0.10430","122.12672"
"1.30000","0.10842","121.32024"
"1.35000","0.11273","121.22517"
"1.40000","0.11685","121.99719"
"1.45000","0.12098","121.90601"
"1.50000","0.12519","121.48465"
"1.55000","0.12941","122.02605"
"1.60000","0.13353","121.31126"
"1.65000","0.13775","121.52637"
"1.70000","0.14197","121.68140"
"1.75000","0.14609","122.51299"
"1.80000","0.15021","121.98301"
"1.85000","0.15443","122.41885"
"1.90000","0.15865","122.08368"
"1.95000","0.16277","121.92201"
"2.00000","0.16689","121.73179"
"2.05000","0.17111","121.67906"
"2.10000","0.17523","121.95313"
"2.15000","0.17935","121.97240"
"2.20000","0.18357","122.29757"
"2.25000","0.18769","122.88620"
"2.30000","0.19182","122.77166"
"2.35000","0.19594","122.67169"
"2.40000","0.20016","123.31438"
"2.45000","0.20428","123.14191"
"2.50000","0.20850","123.43994"
"2.55000","0.21262","123.44861"
"2.60000","0.21684","124.07476"
"2.65000","0.22096","127.09133"
"2.70000","0.22527","138.03021"
"2.75000","0.22939","150.26079"
"2.80000","0.23352","164.12024"
"2.85000","0.23773","178.00246"
"2.90000","0.24195","192.02675"
"2.95000","0.24607","208.40187"
"3.00000","0.25029","224.47134"
"3.05000","0.25441","242.19200"
"3.10000","0.25854","261.45264"
"3.15000","0.26266","280.89764"
"3.20000","0.26688","300.42142"
"3.25000","0.27100","324.15567"
"3.30000","0.27512","352.73544"
"3.35000","0.27934","380.36810"
"3.40000","0.28346","410.67535"
"3.45000","0.28768","443.62201"
"3.50000","0.29180","477.09918"
"3.55000","0.29602","511.87231"
"3.60000","0.30014","546.76068"
"3.65000","0.30427","583.92249"
"3.70000","0.30848","619.46136"
"3.75000","0.31261","656.70825"
"3.80000","0.31682","695.38501"
"3.85000","0.32104","734.72382"
"3.90000","0.32516","773.14764"
"3.95000","0.32928","811.44312"
"4.00000","0.33350","848.74695"
"4.05000","0.33772","882.48114"
"4.10000","0.34184","915.10022"
"4.15000","0.34596","945.09589"
"4.20000","0.35009","973.25824"
"4.25000","0.35430","1000.66333"
"4.30000","0.35843","1028.23206"
"4.35000","0.36264","1055.98767"
"4.40000","0.36677","1082.90796"
"4.45000","0.37089","1110.89709"
"4.50000","0.37511","1138.41125"
"4.55000","0.37932","1165.90637"
"4.60000","0.38345","1192.35986"
"4.65000","0.38757","1220.38977"
"4.70000","0.39188","1245.88464"
"4.75000","0.39600","1272.16980"
"4.80000","0.40013","1297.51953"
"4.85000","0.40434","1323.51587"
"4.90000","0.40856","1348.44849"
"4.95000","0.41268","1372.66614"
"5.00000","0.41690","1396.93616"
"5.05000","0.42112","1421.22815"
"5.10000","0.42524","1444.99133"
"5.15000","0.42936","1468.03711"
"5.20000","0.43349","1491.27734"
"5.25000","0.43770","1513.98706"
"5.30000","0.44183","1537.28137"
"5.35000","0.44595","1559.43506"
"5.40000","0.45017","1581.36072"
"5.45000","0.45429","1604.51379"
"5.50000","0.45841","1627.01099"
"5.55000","0.46263","1648.96289"
"5.60000","0.46685","1670.73962"
"5.65000","0.47097","1692.71399"
"5.70000","0.47509","1715.01465"
"5.75000","0.47931","1736.75061"
"5.80000","0.48343","1759.20105"
"5.85000","0.48765","1780.66711"
"5.90000","0.49187","1801.86963"
"5.95000","0.49599","1822.99036"
"6.00000","0.50021","1845.11169"
"6.05000","0.50442","1865.26440"
"6.10000","0.50855","1886.20129"
"6.15000","0.51267","1908.03833"
"6.20000","0.51679","1928.26721"
"6.25000","0.52101","1949.20508"
"6.30000","0.52513","1970.30005"
"6.35000","0.52935","1990.79761"
"6.40000","0.53347","2011.02295"
"6.45000","0.53769","2031.86121"
"6.50000","0.54181","2053.18555"
"6.55000","0.54603","2074.16138"
"6.60000","0.55015","2094.77588"
"6.65000","0.55427","2116.12964"
"6.70000","0.55849","2136.54272"
"6.75000","0.56271","2157.50366"
"6.80000","0.56683","2178.09521"
"6.85000","0.57105","2198.87646"
"6.90000","0.57526","2218.84082"
"6.95000","0.57939","2240.37061"
"7.00000","0.58351","2260.59131"
"7.05000","0.58773","2281.28223"
"7.10000","0.59185","2301.24805"
"7.15000","0.59597","2321.58105"
"7.20000","0.60019","2341.21240"
"7.25000","0.60431","2361.69482"
"7.30000","0.60844","2382.36963"
"7.35000","0.61265","2402.13354"
"7.40000","0.61678","2421.33057"
"7.45000","0.62099","2441.60425"
"7.50000","0.62512","2461.42651"
"7.55000","0.62933","2480.78101"
"7.60000","0.63346","2500.27563"
"7.65000","0.63758","2520.84570"
"7.70000","0.64180","2540.97339"
"7.75000","0.64592","2560.09253"
"7.80000","0.65014","2580.84912"
"7.85000","0.65426","2599.95654"
"7.90000","0.65848","2619.14868"
"7.95000","0.66269","2638.60425"
"8.00000","0.66682","2658.38306"
"8.05000","0.67103","2677.49097"
"8.10000","0.67516","2697.27954"
"8.15000","0.67928","2717.11719"
"8.20000","0.68350","2735.82617"
"8.25000","0.68762","2755.39209"
"8.30000","0.69174","2774.26831"
"8.35000","0.69596","2793.17505"
"8.40000","0.70008","2811.43555"
"8.45000","0.70430","2830.39429"
"8.50000","0.70852","2850.14355"
"8.55000","0.71264","2868.50879"
"8.60000","0.71686","2886.75977"
"8.65000","0.72098","2906.42651"
"8.70000","0.72520","2924.18799"
"8.75000","0.72932","2943.33740"
"8.80000","0.73344","2962.40063"
"8.85000","0.73766","2981.64062"
"8.90000","0.74187","3000.22949"
"8.95000","0.74600","3019.12305"
"9.00000","0.75012","3037.93213"
"9.05000","0.75434","3056.68164"
"9.10000","0.75846","3075.23853"
"9.15000","0.76268","3094.44336"
"9.20000","0.76680","3113.22168"
"9.25000","0.77102","3132.02856"
"9.30000","0.77514","3150.85474"
"9.35000","0.77926","3169.80322"
"9.40000","0.78348","3188.49829"
"9.45000","0.78760","3207.14819"
"9.50000","0.79182","3225.31006"
"9.55000","0.79604","3244.30811"
"9.60000","0.80016","3262.74146"
"9.65000","0.80428","3282.25464"
"9.70000","0.80841","3301.88013"
"9.75000","0.81272","3320.40112"
"9.80000","0.81684","3340.17676"
"9.85000","0.82096","3358.95825"
"9.90000","0.82518","3377.30542"
"9.95000","0.82930","3395.79102"
"10.00000","0.83352","3414.71289"
"10.05000","0.83764","3432.59692"
"10.10000","0.84186","3451.55005"
"10.15000","0.84598","3470.36499"
"10.20000","0.85011","3489.54785"
"10.25000","0.85432","3507.60107"
"10.30000","0.85845","3526.40894"
"10.35000","0.86257","3545.74365"
