Specimen properties : Length,"100.00000",mm
Specimen properties : Thickness,"1.00000",mm
Specimen properties : Width,"10.00000",mm
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.02135"
"0.05000","0.00094","-1.81184"
"0.10000","0.00431","0.91811"
"0.15000","0.00881","4.16886"
"0.20000","0.01368","5.92362"
"0.25000","0.01846","8.46742"
"0.30000","0.02315","13.36593"
"0.35000","0.02774","19.98197"
"0.40000","0.03224","29.30787"
"0.45000","0.03673","43.84613"
"0.50000","0.04104","56.29711"
"0.55000","0.04535","66.99487"
"0.60000","0.04976","81.78689"
"0.65000","0.05397","91.54220"
"0.70000","0.05819","100.61871"
"0.75000","0.06250","106.56483"
"0.80000","0.06672","112.47026"
"0.85000","0.07056","114.01276"
"0.90000","0.07525","113.32449"
"0.95000","0.07937","114.51418"
"1.00000","0.08349","115.54302"
"1.05000","0.08771","115.88531"
"1.10000","0.09193","115.90654"
"1.15000","0.09605","115.89634"
"1.20000","0.10027","115.57871"
"1.25000","0.10439","116.44835"
"1.30000","0.10851","116.60001"
"1.35000","0.11273","115.77099"
"1.40000","0.11685","116.91029"
"1.45000","0.12098","117.02341"
"1.50000","0.12519","116.52290"
"1.55000","0.12941","117.19028"
"1.60000","0.13353","117.16590"
"1.65000","0.13765","116.99995"
"1.70000","0.14187","117.16845"
"1.75000","0.14609","117.74830"
"1.80000","0.15021","117.27422"
"1.85000","0.15433","117.05819"
"1.90000","0.15855","117.83286"
"1.95000","0.16267","118.28195"
"2.00000","0.16689","117.78624"
"2.05000","0.17111","117.85682"
"2.10000","0.17523","118.91015"
"2.15000","0.17935","118.15854"
"2.20000","0.18357","118.01645"
"2.25000","0.18779","118.11120"
"2.30000","0.19191","118.20953"
"2.35000","0.19613","118.57386"
"2.40000","0.20025","118.98063"
"2.45000","0.20437","119.25040"
"2.50000","0.20859","118.82375"
"2.55000","0.21271","119.10731"
"2.60000","0.21684","119.44532"
"2.65000","0.22096","118.88914"
"2.70000","0.22527","118.34335"
"2.75000","0.22939","118.96839"
"2.80000","0.23352","118.95676"
"2.85000","0.23773","118.39822"
"2.90000","0.24195","117.93272"
"2.95000","0.24607","118.23737"
"3.00000","0.25020","118.73920"
"3.05000","0.25441","118.66261"
"3.10000","0.25863","119.73693"
"3.15000","0.26275","119.99724"
"3.20000","0.26697","122.02524"
"3.25000","0.27109","123.93473"
"3.30000","0.27522","126.03382"
"3.35000","0.27943","132.63437"
"3.40000","0.28356","143.49348"
"3.45000","0.28777","156.56696"
"3.50000","0.29190","172.40425"
"3.55000","0.29602","190.20120"
"3.60000","0.30014","211.88571"
"3.65000","0.30427","238.22656"
"3.70000","0.30848","265.16373"
"3.75000","0.31279","295.15744"
"3.80000","0.31692","325.84570"
"3.85000","0.32113","357.75323"
"3.90000","0.32535","391.36206"
"3.95000","0.32947","427.41797"
"4.00000","0.33360","463.11569"
"4.05000","0.33781","500.09042"
"4.10000","0.34194","537.53058"
"4.15000","0.34606","575.37433"
"4.20000","0.35028","614.21564"
"4.25000","0.35440","653.83209"
"4.30000","0.35852","693.22443"
"4.35000","0.36274","732.15167"
"4.40000","0.36686","772.75934"
"4.45000","0.37098","812.77576"
"4.50000","0.37511","852.79395"
"4.55000","0.37932","894.16254"
"4.60000","0.38345","936.64966"
"4.65000","0.38757","979.55621"
"4.70000","0.39188","1022.61707"
"4.75000","0.39600","1065.53442"
"4.80000","0.40013","1108.02673"
"4.85000","0.40434","1149.21277"
"4.90000","0.40856","1188.79456"
"4.95000","0.41268","1230.32092"
"5.00000","0.41681","1268.92444"
"5.05000","0.42112","1305.06860"
"5.10000","0.42524","1338.65710"
"5.15000","0.42936","1370.72339"
"5.20000","0.43358","1400.39783"
"5.25000","0.43780","1428.70056"
"5.30000","0.44183","1456.98157"
"5.35000","0.44604","1484.36133"
"5.40000","0.45017","1511.43677"
"5.45000","0.45429","1538.92944"
"5.50000","0.45841","1566.52795"
"5.55000","0.46263","1592.14331"
"5.60000","0.46685","1617.36902"
"5.65000","0.47097","1644.33191"
"5.70000","0.47509","1669.01978"
"5.75000","0.47931","1693.22864"
"5.80000","0.48343","1717.54932"
"5.85000","0.48765","1741.48059"
"5.90000","0.49187","1765.69727"
"5.95000","0.49599","1789.46558"
"6.00000","0.50011","1814.33423"
"6.05000","0.50433","1837.35645"
"6.10000","0.50855","1861.35449"
"6.15000","0.51267","1886.17236"
"6.20000","0.51689","1909.27197"
"6.25000","0.52110","1932.53210"
"6.30000","0.52523","1956.39917"
"6.35000","0.52935","1979.83081"
"6.40000","0.53347","2002.93530"
"6.45000","0.53769","2025.36768"
"6.50000","0.54181","2048.60278"
"6.55000","0.54603","2071.36230"
"6.60000","0.55015","2094.70874"
"6.65000","0.55427","2117.74658"
"6.70000","0.55849","2140.60913"
"6.75000","0.56271","2163.85620"
"6.80000","0.56683","2186.94678"
"6.85000","0.57095","2210.08984"
"6.90000","0.57517","2232.39648"
"6.95000","0.57939","2254.68799"
"7.00000","0.58351","2276.71704"
"7.05000","0.58773","2300.08911"
"7.10000","0.59194","2322.11865"
"7.15000","0.59607","2344.99512"
"7.20000","0.60019","2367.02197"
"7.25000","0.60441","2388.87500"
"7.30000","0.60862","2411.91089"
"7.35000","0.61265","2433.65479"
"7.40000","0.61687","2455.10742"
"7.45000","0.62099","2477.50952"
"7.50000","0.62512","2498.89966"
"7.55000","0.62933","2520.90869"
"7.60000","0.63355","2542.52881"
"7.65000","0.63767","2564.87329"
"7.70000","0.64180","2585.76318"
"7.75000","0.64601","2607.42017"
"7.80000","0.65014","2628.08716"
"7.85000","0.65426","2649.00684"
"7.90000","0.65848","2669.82593"
"7.95000","0.66269","2691.12451"
"8.00000","0.66682","2711.28369"
"8.05000","0.67103","2731.75464"
"8.10000","0.67516","2752.03931"
"8.15000","0.67937","2773.37134"
"8.20000","0.68359","2794.36987"
"8.25000","0.68771","2814.35889"
"8.30000","0.69193","2835.53687"
"8.35000","0.69605","2856.28711"
"8.40000","0.70018","2876.19604"
"8.45000","0.70439","2896.71313"
"8.50000","0.70852","2917.22314"
"8.55000","0.71273","2937.36938"
"8.60000","0.71686","2958.35474"
"8.65000","0.72098","2979.78857"
"8.70000","0.72510","3002.09204"
"8.75000","0.72941","3023.45361"
"8.80000","0.73354","3044.60254"
"8.85000","0.73766","3066.81738"
"8.90000","0.74187","3088.18652"
"8.95000","0.74600","3110.05957"
"9.00000","0.75021","3132.92847"
"9.05000","0.75434","3155.65063"
"9.10000","0.75855","3178.81396"
"9.15000","0.76268","3203.38574"
"9.20000","0.76689","3227.50659"
"9.25000","0.77111","3250.77441"
"9.30000","0.77523","3274.37939"
"9.35000","0.77936","3297.55884"
"9.40000","0.78348","3320.49658"
"9.45000","0.78770","3343.43237"
"9.50000","0.79182","3366.97998"
"9.55000","0.79594","3389.62183"
"9.60000","0.80016","3411.47827"
"9.65000","0.80428","3435.31885"
"9.70000","0.80841","3458.90601"
"9.75000","0.81272","3481.84082"
"9.80000","0.81684","3504.74780"
"9.85000","0.82096","3528.79614"
"9.90000","0.82518","3552.57495"
"9.95000","0.82930","3576.56470"
"10.00000","0.83343","3600.06689"
"10.05000","0.83764","3623.49365"
"10.10000","0.84186","3646.37036"
"10.15000","0.84598","3669.72583"
"10.20000","0.85020","3693.28003"
"10.25000","0.85442","3716.16626"
"10.30000","0.85854","3739.00122"
"10.35000","0.86266","3763.50732"
