Specimen properties : Length,"100.00000",mm
Specimen properties : Thickness,"1.00000",mm
Specimen properties : Width,"10.00000",mm
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"8.85000","0.73756","2986.06641"
"8.90000","0.74178","3010.24292"
"8.95000","0.74590","3034.50903"
"9.00000","0.75012","3058.40552"
"9.05000","0.75424","3081.52368"
"9.10000","0.75846","3105.61475"
"9.15000","0.76268","3129.54102"
"9.20000","0.76680","3152.63281"
"9.25000","0.77102","3178.07129"
"9.30000","0.77514","3201.81836"
"9.35000","0.77936","3224.88965"
"9.40000","0.78348","3248.55176"
"9.45000","0.78760","3271.78760"
"9.50000","0.79182","3295.10376"
"9.55000","0.79594","3318.47192"
"9.60000","0.80007","3342.13086"
"9.65000","0.80428","3366.08618"
"9.70000","0.80850","3389.88184"
"9.75000","0.81272","3413.84009"
"9.80000","0.81684","3437.34253"
"9.85000","0.82106","3460.58911"
"9.90000","0.82518","3484.09033"
"9.95000","0.82940","3508.11621"
"10.00000","0.83361","3530.60107"
"10.05000","0.83774","3554.80347"
"10.10000","0.84186","3576.68701"
"10.15000","0.84608","3599.99805"
"10.20000","0.85029","3623.03735"
"10.25000","0.85442","3646.16895"
"10.30000","0.85854","3668.72290"
"10.35000","0.86266","3692.07935"
"10.40000","0.86679","3715.16895"
"10.45000","0.87100","3737.83521"
"10.50000","0.87513","3760.72900"
"10.55000","0.87925","3783.63477"
"10.60000","0.88337","3806.35449"
"10.65000","0.88759","3827.74097"
"10.70000","0.89181","3851.56714"
"10.75000","0.89593","3875.08936"
"10.80000","0.90015","3897.74634"
"10.85000","0.90427","3920.20337"
"10.90000","0.90849","3943.93066"
"10.95000","0.91261","3966.67236"
"11.00000","0.91683","3989.52075"
"11.05000","0.92095","4012.79883"
"11.10000","0.92516","4036.26050"
"11.15000","0.92929","4058.93848"
"11.20000","0.93350","4081.84302"
"11.25000","0.93772","4105.33008"
"11.30000","0.94184","4128.57812"
"11.35000","0.94606","4150.75928"
"11.40000","0.95018","4174.50830"
"11.45000","0.95431","4197.60107"
"11.50000","0.95852","4219.20117"
"11.55000","0.96265","4241.74268"
"11.60000","0.96677","4264.55615"
"11.65000","0.97099","4286.55322"
"11.70000","0.97520","4307.86035"
"11.75000","0.97933","4331.42676"
"11.80000","0.98345","4354.25684"
"11.85000","0.98767","4376.26318"
"11.90000","0.99179","4398.58008"
"11.95000","0.99601","4421.41016"
"12.00000","1.00013","4444.16797"
"12.05000","1.00435","4467.09082"
"12.10000","1.00847","4489.96533"
"12.15000","1.01269","4512.26514"
"12.20000","1.01690","4534.05469"
"12.25000","1.02103","4556.55713"
"12.30000","1.02515","4580.11377"
"12.35000","1.02937","4602.48828"
"12.40000","1.03349","4624.67627"
"12.45000","1.03761","4648.10107"
"12.50000","1.04174","4670.79980"
"12.55000","1.04595","4693.61670"
"12.60000","1.05008","4717.16650"
"12.65000","1.05429","4739.92773"
"12.70000","1.05842","4762.80859"
"12.75000","1.06263","4785.60449"
"12.80000","1.06676","4807.90430"
"12.85000","1.07097","4830.76221"
"12.90000","1.07510","4854.45801"
"12.95000","1.07931","4877.92969"
"13.00000","1.08344","4900.84570"
"13.05000","1.08765","4924.59961"
"13.10000","1.09178","4947.95703"
"13.15000","1.09599","4971.25928"
"13.20000","1.10021","4995.05420"
"13.25000","1.10433","5018.55225"
"13.30000","1.10855","5040.39355"
"13.35000","1.11267","5063.95361"
"13.40000","1.11679","5086.66943"
"13.45000","1.12092","5109.89111"
"13.50000","1.12513","5132.57666"
"13.55000","1.12926","5156.64355"
"13.60000","1.13347","5180.06738"
"13.65000","1.13760","5202.22461"
"13.70000","1.14181","5225.36865"
"13.75000","1.14594","5248.86035"
"13.80000","1.15006","5270.24365"
"13.85000","1.15437","5293.95605"
"13.90000","1.15849","5317.69922"
"13.95000","1.16262","5341.04639"
"14.00000","1.16683","5364.22900"
"14.05000","1.17105","5387.23193"
"14.10000","1.17517","5411.20654"
"14.15000","1.17930","5434.72559"
"14.20000","1.18351","5457.86279"
"14.25000","1.18764","5481.06104"
"14.30000","1.19185","5504.28125"
"14.35000","1.19607","5525.78613"
"14.40000","1.20019","5542.22217"
"14.45000","1.20432","5568.49072"
"14.50000","1.20853","5594.83545"
"14.55000","1.21266","5618.25537"
"14.60000","1.21678","5641.97900"
"14.65000","1.22090","5666.28125"
"14.70000","1.22512","5690.44189"
"14.75000","1.22924","5714.73340"
"14.80000","1.23337","5738.51562"
"14.85000","1.23768","5761.00000"
"14.90000","1.24180","5786.18506"
"14.95000","1.24592","5811.47510"
"15.00000","1.25014","5836.05811"
"15.05000","1.25426","5860.83740"
"15.10000","1.25839","5885.50928"
"15.15000","1.26260","5912.50586"
"15.20000","1.26682","5937.20264"
"15.25000","1.27094","5963.43506"
"15.30000","1.27507","5987.79785"
"15.35000","1.27928","6012.76221"
"15.40000","1.28341","6037.81299"
"15.45000","1.28762","6063.83398"
"15.50000","1.29175","6089.64795"
"15.55000","1.29596","6113.86963"
"15.60000","1.30008","6138.97168"
"15.65000","1.30421","6164.31982"
"15.70000","1.30842","6189.91309"
"15.75000","1.31264","6215.50586"
"15.80000","1.31676","6240.55957"
"15.85000","1.32098","6266.07080"
"15.90000","1.32520","6289.42676"
"15.95000","1.32932","6315.74072"
"16.00000","1.33344","6342.27539"
"16.05000","1.33766","6367.92578"
"16.10000","1.34188","6394.18311"
"16.15000","1.34600","6420.71436"
"16.20000","1.35022","6446.62305"
"16.25000","1.35434","6472.70361"
"16.30000","1.35846","6498.82275"
"16.35000","1.36268","6524.29150"
"16.40000","1.36680","6550.44824"
"16.45000","1.37093","6576.27002"
"16.50000","1.37514","6602.67676"
"16.55000","1.37936","6628.37012"
"16.60000","1.38348","6654.96729"
"16.65000","1.38761","6681.58984"
"16.70000","1.39182","6707.57666"
"16.75000","1.39595","6734.22217"
"16.80000","1.40007","6760.27393"
"16.85000","1.40429","6786.51416"
"16.90000","1.40850","6812.64307"
"16.95000","1.41263","6837.94482"
"17.00000","1.41675","6866.11084"
"17.05000","1.42097","6892.91064"
"17.10000","1.42509","6919.77539"
"17.15000","1.42931","6946.81787"
"17.20000","1.43352","6974.06445"
"17.25000","1.43765","7000.96631"
"17.30000","1.44177","7028.64697"
"17.35000","1.44589","7056.14404"
"17.40000","1.45011","7082.55225"
"17.45000","1.45423","7109.72559"
"17.50000","1.45836","7136.87109"
"17.55000","1.46257","7164.45459"
"17.60000","1.46679","7193.09521"
"17.65000","1.47091","7219.77148"
"17.70000","1.47513","7246.76172"
"17.75000","1.47935","7273.83252"
"17.80000","1.48347","7300.92285"
"17.85000","1.48759","7327.90674"
"17.90000","1.49190","7354.56494"
"17.95000","1.49603","7381.36377"
"18.00000","1.50015","7407.07227"
"18.05000","1.50437","7435.03369"
"18.10000","1.50858","7462.29590"
"18.15000","1.51271","7490.01074"
"18.20000","1.51692","7518.05322"
"18.25000","1.52105","7544.64697"
"18.30000","1.52517","7572.82617"
"18.35000","1.52929","7599.90674"
"18.40000","1.53351","7626.41211"
"18.45000","1.53763","7654.00391"
"18.50000","1.54175","7681.89795"
"18.55000","1.54597","7707.94141"
"18.60000","1.55009","7735.15186"
"18.65000","1.55422","7763.68164"
"18.70000","1.55843","7791.36621"
"18.75000","1.56265","7819.23145"
"18.80000","1.56677","7846.86816"
"18.85000","1.57099","7874.85254"
"18.90000","1.57511","7902.78223"
"18.95000","1.57933","7931.39209"
"19.00000","1.58345","7959.93115"
"19.05000","1.58767","7987.47314"
"19.10000","1.59179","8016.23535"
"19.15000","1.59592","8046.22314"
"19.20000","1.60013","8076.20898"
"19.25000","1.60435","8105.43896"
"19.30000","1.60847","8133.49463"
"19.35000","1.61260","8162.30615"
"19.40000","1.61672","8190.29346"
"19.45000","1.62094","8219.70996"
"19.50000","1.62506","8249.38281"
"19.55000","1.62928","8277.70410"
"19.60000","1.63340","8304.03906"
"19.65000","1.63762","8333.28711"
"19.70000","1.64174","8362.80078"
"19.75000","1.64596","8391.07715"
"19.80000","1.65017","8419.10059"
"19.85000","1.65430","8448.29785"
"19.90000","1.65851","8475.81445"
"19.95000","1.66264","8504.94824"
"20.00000","1.66685","8533.43848"
"20.05000","1.67107","8562.07227"
"20.10000","1.67519","8589.92480"
