Specimen properties : Length,"100.00000",mm
Specimen properties : Thickness,"1.00000",mm
Specimen properties : Width,"10.00000",mm
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"8.70000","0.72510","6625.76123"
"8.75000","0.72922","6659.19336"
"8.80000","0.73335","6694.38818"
"8.85000","0.73756","6728.97314"
"8.90000","0.74178","6763.29297"
"8.95000","0.74590","6797.20215"
"9.00000","0.75003","6831.36816"
"9.05000","0.75424","6864.93896"
"9.10000","0.75837","6899.60889"
"9.15000","0.76249","6934.47900"
"9.20000","0.76671","6967.29639"
"9.25000","0.77083","6999.11719"
"9.30000","0.77505","7034.65723"
"9.35000","0.77917","7070.05127"
"9.40000","0.78339","7102.93555"
"9.45000","0.78751","7137.16357"
"9.50000","0.79173","7172.40430"
"9.55000","0.79585","7206.02881"
"9.60000","0.80007","7240.24463"
"9.65000","0.80410","7274.61377"
"9.70000","0.80841","7308.20801"
"9.75000","0.81253","7338.17090"
"9.80000","0.81675","7358.90039"
"9.85000","0.82087","7392.65771"
"9.90000","0.82509","7433.52979"
"9.95000","0.82930","7469.04297"
"10.00000","0.83333","7506.56348"
"10.05000","0.83755","7540.91016"
"10.10000","0.84167","7575.17529"
"10.15000","0.84580","7611.30078"
"10.20000","0.85001","7644.68848"
"10.25000","0.85414","7678.09619"
"10.30000","0.85835","7711.70020"
"10.35000","0.86248","7748.11963"
"10.40000","0.86669","7783.25488"
"10.45000","0.87091","7818.55420"
"10.50000","0.87503","7854.93701"
"10.55000","0.87925","7890.02051"
"10.60000","0.88337","7924.97461"
"10.65000","0.88749","7961.01074"
"10.70000","0.89171","7996.03174"
"10.75000","0.89593","8031.15234"
"10.80000","0.90005","8065.07715"
"10.85000","0.90427","8101.93555"
"10.90000","0.90849","8136.89697"
"10.95000","0.91261","8173.28320"
"11.00000","0.91673","8208.62695"
"11.05000","0.92085","8243.71094"
"11.10000","0.92507","8279.70605"
"11.15000","0.92919","8315.47070"
"11.20000","0.93341","8351.86523"
"11.25000","0.93753","8386.71875"
"11.30000","0.94166","8421.00684"
"11.35000","0.94578","8457.38379"
"11.40000","0.95000","8494.02637"
"11.45000","0.95421","8529.50781"
"11.50000","0.95834","8566.30176"
"11.55000","0.96246","8601.46094"
"11.60000","0.96668","8637.60059"
"11.65000","0.97080","8676.20215"
"11.70000","0.97502","8713.17090"
"11.75000","0.97923","8749.37598"
"11.80000","0.98336","8784.04980"
"11.85000","0.98748","8820.02441"
"11.90000","0.99179","8856.59277"
"11.95000","0.99582","8892.23047"
"12.00000","0.99994","8929.41992"
"12.05000","1.00416","8965.42480"
"12.10000","1.00838","9001.91602"
"12.15000","1.01250","9039.44336"
"12.20000","1.01662","9075.97461"
"12.25000","1.02084","9112.02734"
"12.30000","1.02496","9148.07520"
"12.35000","1.02909","9184.01562"
"12.40000","1.03340","9220.60254"
"12.45000","1.03752","9257.87305"
"12.50000","1.04164","9295.24805"
"12.55000","1.04586","9331.83496"
"12.60000","1.05008","9368.97656"
"12.65000","1.05420","9406.37402"
"12.70000","1.05832","9443.96680"
"12.75000","1.06263","9480.43848"
"12.80000","1.06676","9516.71094"
"12.85000","1.07088","9554.52246"
"12.90000","1.07510","9589.92969"
"12.95000","1.07922","9627.05176"
"13.00000","1.08334","9663.79492"
"13.05000","1.08756","9701.30469"
"13.10000","1.09168","9738.94141"
"13.15000","1.09580","9776.72656"
"13.20000","1.10002","9815.29980"
"13.25000","1.10414","9851.79883"
"13.30000","1.10827","9889.56250"
"13.35000","1.11248","9927.07812"
"13.40000","1.11661","9962.73926"
"13.45000","1.12082","9999.74902"
"13.50000","1.12504","10040.67480"
"13.55000","1.12926","10079.68945"
"13.60000","1.13347","10116.82812"
"13.65000","1.13760","10157.03711"
"13.70000","1.14172","10194.81836"
"13.75000","1.14603","10232.57031"
"13.80000","1.15015","10271.00879"
"13.85000","1.15428","10309.26074"
"13.90000","1.15840","10344.33203"
"13.95000","1.16262","10381.51270"
"14.00000","1.16674","10419.25098"
"14.05000","1.17086","10456.88672"
"14.10000","1.17508","10494.59668"
"14.15000","1.17920","10531.22168"
"14.20000","1.18333","10569.76660"
"14.25000","1.18754","10606.64746"
"14.30000","1.19167","10643.57617"
"14.35000","1.19579","10682.41309"
"14.40000","1.20001","10718.88770"
"14.45000","1.20422","10755.91504"
"14.50000","1.20835","10794.36328"
"14.55000","1.21247","10833.15723"
"14.60000","1.21669","10872.04785"
"14.65000","1.22090","10910.46484"
"14.70000","1.22503","10949.62793"
"14.75000","1.22915","10986.25879"
"14.80000","1.23337","11025.91309"
"14.85000","1.23749","11065.37402"
"14.90000","1.24171","11102.48340"
"14.95000","1.24592","11140.84668"
"15.00000","1.25005","11178.34180"
"15.05000","1.25417","11216.52637"
"15.10000","1.25839","11254.18359"
"15.15000","1.26251","11293.25293"
"15.20000","1.26663","11330.71094"
"15.25000","1.27085","11368.85742"
"15.30000","1.27507","11407.89746"
"15.35000","1.27919","11448.58398"
"15.40000","1.28331","11486.42090"
"15.45000","1.28753","11524.92285"
"15.50000","1.29165","11562.26562"
"15.55000","1.29587","11599.39453"
"15.60000","1.29999","11637.15234"
"15.65000","1.30411","11677.10840"
"15.70000","1.30833","11719.55566"
"15.75000","1.31255","11755.56152"
"15.80000","1.31667","11796.48145"
"15.85000","1.32089","11836.96680"
"15.90000","1.32510","11874.34863"
"15.95000","1.32923","11911.74512"
"16.00000","1.33335","11950.23633"
"16.05000","1.33747","11986.89160"
"16.10000","1.34169","12025.89844"
"16.15000","1.34581","12066.08398"
"16.20000","1.34994","12105.46875"
"16.25000","1.35415","12142.89355"
"16.30000","1.35837","12181.38281"
"16.35000","1.36249","12221.43262"
"16.40000","1.36662","12260.41797"
"16.45000","1.37093","12299.22168"
"16.50000","1.37505","12338.62305"
"16.55000","1.37917","12376.02539"
"16.60000","1.38339","12412.65234"
"16.65000","1.38751","12451.29297"
"16.70000","1.39164","12491.57031"
"16.75000","1.39585","12531.00586"
"16.80000","1.40007","12570.19336"
"16.85000","1.40429","12609.96484"
"16.90000","1.40832","12650.16504"
"16.95000","1.41253","12687.88379"
"17.00000","1.41666","12726.95996"
"17.05000","1.42087","12766.11816"
"17.10000","1.42509","12804.22070"
"17.15000","1.42921","12842.12891"
"17.20000","1.43334","12882.23145"
"17.25000","1.43746","12921.01855"
"17.30000","1.44168","12959.17676"
"17.35000","1.44580","12998.96875"
"17.40000","1.45002","13039.67383"
"17.45000","1.45423","13078.48242"
"17.50000","1.45836","13116.52539"
"17.55000","1.46248","13156.45312"
"17.60000","1.46670","13195.16016"
"17.65000","1.47082","13234.04590"
"17.70000","1.47504","13272.53711"
"17.75000","1.47916","13312.39453"
"17.80000","1.48338","13350.83984"
"17.85000","1.48759","13390.25977"
"17.90000","1.49162","13430.29395"
"17.95000","1.49593","13467.38086"
"18.00000","1.50005","13506.72656"
"18.05000","1.50418","13546.00977"
"18.10000","1.50830","13584.83691"
"18.15000","1.51252","13623.61426"
"18.20000","1.51664","13660.94238"
"18.25000","1.52076","13700.17676"
"18.30000","1.52507","13738.25488"
"18.35000","1.52920","13778.06836"
"18.40000","1.53332","13817.14062"
"18.45000","1.53754","13854.48145"
"18.50000","1.54175","13893.08887"
"18.55000","1.54588","13931.70703"
"18.60000","1.55009","13970.15625"
"18.65000","1.55422","14008.19531"
"18.70000","1.55834","14046.00293"
"18.75000","1.56256","14084.68652"
"18.80000","1.56668","14123.35645"
"18.85000","1.57090","14162.62988"
"18.90000","1.57502","14201.76074"
"18.95000","1.57914","14240.81934"
"19.00000","1.58336","14279.23145"
"19.05000","1.58748","14319.19531"
"19.10000","1.59161","14359.25684"
"19.15000","1.59582","14397.28027"
"19.20000","1.59995","14434.84863"
"19.25000","1.60416","14473.00879"
"19.30000","1.60829","14512.12207"
"19.35000","1.61250","14552.75098"
"19.40000","1.61663","14591.52441"
"19.45000","1.62084","14630.35156"
"19.50000","1.62506","14669.20703"
"19.55000","1.62918","14708.51855"
"19.60000","1.63340","14747.83301"
"19.65000","1.63752","14787.19531"
"19.70000","1.64165","14824.89844"
"19.75000","1.64586","14864.66699"
"19.80000","1.65008","14902.34863"
"19.85000","1.65420","14942.76855"
"19.90000","1.65833","14982.24316"
"19.95000","1.66254","15022.10645"
"20.00000","1.66667","15059.58594"
"20.05000","1.67079","15097.87012"
"20.10000","1.67500","15137.20605"
"20.15000","1.67913","15175.93262"
"20.20000","1.68334","15214.24805"
"20.25000","1.68747","15252.27148"
"20.30000","1.69168","15289.82715"
"20.35000","1.69590","15329.33301"
"20.40000","1.70002","15368.01270"
