Specimen properties : Length,"100.00000",mm
Specimen properties : Thickness,"1.00000",mm
Specimen properties : Width,"10.00000",mm
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"8.75000","0.72932","2676.88452"
"8.80000","0.73344","2701.34155"
"8.85000","0.73766","2724.90918"
"8.90000","0.74187","2749.11401"
"8.95000","0.74600","2773.01416"
"9.00000","0.75012","2797.81909"
"9.05000","0.75443","2821.63501"
"9.10000","0.75855","2844.96826"
"9.15000","0.76268","2869.42480"
"9.20000","0.76689","2892.28125"
"9.25000","0.77111","2915.55908"
"9.30000","0.77523","2938.19702"
"9.35000","0.77936","2962.52930"
"9.40000","0.78357","2985.83765"
"9.45000","0.78779","3010.40869"
"9.50000","0.79191","3034.97681"
"9.55000","0.79613","3059.12402"
"9.60000","0.80025","3083.46362"
"9.65000","0.80438","3107.20605"
"9.70000","0.80850","3131.50854"
"9.75000","0.81272","3154.26465"
"9.80000","0.81684","3177.03857"
"9.85000","0.82096","3199.11841"
"9.90000","0.82518","3223.79370"
"9.95000","0.82940","3249.18750"
"10.00000","0.83352","3274.26318"
"10.05000","0.83774","3299.62256"
"10.10000","0.84186","3324.49927"
"10.15000","0.84598","3348.90161"
"10.20000","0.85020","3373.18433"
"10.25000","0.85442","3396.09521"
"10.30000","0.85854","3419.09351"
"10.35000","0.86266","3443.24341"
"10.40000","0.86697","3466.92212"
"10.45000","0.87110","3495.33521"
"10.50000","0.87522","3522.23730"
"10.55000","0.87944","3548.43091"
"10.60000","0.88356","3575.02710"
"10.65000","0.88768","3602.06396"
"10.70000","0.89181","3628.19775"
"10.75000","0.89602","3652.20410"
"10.80000","0.90015","3676.86011"
"10.85000","0.90427","3701.37646"
"10.90000","0.90849","3725.16357"
"10.95000","0.91270","3751.71484"
"11.00000","0.91683","3779.19409"
"11.05000","0.92104","3805.64966"
"11.10000","0.92526","3832.85059"
"11.15000","0.92938","3860.17822"
"11.20000","0.93360","3887.27051"
"11.25000","0.93772","3913.51807"
"11.30000","0.94194","3940.74536"
"11.35000","0.94606","3968.25659"
"11.40000","0.95028","3995.61182"
"11.45000","0.95450","4020.19238"
"11.50000","0.95862","4048.06470"
"11.55000","0.96274","4075.31738"
"11.60000","0.96696","4101.49414"
"11.65000","0.97108","4128.91357"
"11.70000","0.97520","4157.76416"
"11.75000","0.97942","4184.67871"
"11.80000","0.98354","4212.34570"
"11.85000","0.98767","4239.63525"
"11.90000","0.99179","4266.13672"
"11.95000","0.99601","4292.03955"
"12.00000","1.00013","4318.80225"
"12.05000","1.00425","4348.10742"
"12.10000","1.00856","4375.06348"
"12.15000","1.01269","4403.44043"
"12.20000","1.01681","4431.70752"
"12.25000","1.02103","4459.95898"
"12.30000","1.02524","4486.08545"
"12.35000","1.02927","4512.68262"
"12.40000","1.03358","4539.23926"
"12.45000","1.03771","4565.32227"
"12.50000","1.04192","4591.89551"
"12.55000","1.04605","4620.98291"
"12.60000","1.05017","4648.44531"
"12.65000","1.05439","4677.21143"
"12.70000","1.05851","4705.76514"
"12.75000","1.06273","4735.01758"
"12.80000","1.06685","4763.94385"
"12.85000","1.07097","4793.47021"
"12.90000","1.07519","4822.43359"
"12.95000","1.07931","4850.86230"
"13.00000","1.08353","4877.42334"
"13.05000","1.08765","4907.10986"
"13.10000","1.09187","4937.01025"
"13.15000","1.09609","4966.51318"
"13.20000","1.10021","4996.33203"
"13.25000","1.10443","5025.81494"
"13.30000","1.10855","5054.69727"
"13.35000","1.11267","5083.47119"
"13.40000","1.11689","5113.09180"
"13.45000","1.12111","5141.62842"
"13.50000","1.12523","5170.47217"
"13.55000","1.12935","5199.99658"
"13.60000","1.13357","5229.35742"
"13.65000","1.13769","5259.39600"
"13.70000","1.14191","5290.29883"
"13.75000","1.14603","5319.58984"
"13.80000","1.15025","5349.57520"
"13.85000","1.15437","5380.58398"
"13.90000","1.15849","5410.86328"
"13.95000","1.16271","5440.78369"
"14.00000","1.16683","5470.13037"
"14.05000","1.17096","5498.98389"
"14.10000","1.17517","5529.38379"
"14.15000","1.17939","5560.19531"
"14.20000","1.18351","5591.14941"
"14.25000","1.18773","5621.60498"
"14.30000","1.19185","5651.61279"
"14.35000","1.19598","5682.43018"
"14.40000","1.20019","5713.60986"
"14.45000","1.20441","5743.58252"
"14.50000","1.20853","5773.82422"
"14.55000","1.21266","5803.62305"
"14.60000","1.21687","5833.30518"
"14.65000","1.22100","5864.31836"
"14.70000","1.22512","5896.21826"
"14.75000","1.22934","5927.51709"
"14.80000","1.23346","5958.01416"
"14.85000","1.23768","5987.69727"
"14.90000","1.24180","6018.76562"
"14.95000","1.24602","6049.97705"
"15.00000","1.25014","6080.83545"
"15.05000","1.25426","6111.74463"
"15.10000","1.25848","6142.09766"
"15.15000","1.26270","6174.22998"
"15.20000","1.26691","6207.67725"
"15.25000","1.27113","6240.11768"
"15.30000","1.27535","6271.62451"
"15.35000","1.27947","6302.43652"
"15.40000","1.28359","6334.03662"
"15.45000","1.28781","6365.63916"
"15.50000","1.29193","6396.69971"
"15.55000","1.29606","6427.69775"
"15.60000","1.30027","6457.81006"
"15.65000","1.30449","6489.91455"
"15.70000","1.30861","6521.52295"
"15.75000","1.31274","6553.97461"
"15.80000","1.31695","6585.39893"
"15.85000","1.32108","6617.21436"
"15.90000","1.32520","6650.26172"
"15.95000","1.32932","6681.67334"
"16.00000","1.33354","6714.27637"
"16.05000","1.33766","6746.69678"
"16.10000","1.34188","6778.73291"
