Specimen properties : Length,"100.00000",mm
Specimen properties : Thickness,"1.00000",mm
Specimen properties : Width,"10.00000",mm
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.15364"
"0.05000","0.00131","0.54808"
"0.10000","0.00497","2.33737"
"0.15000","0.00956","3.59880"
"0.20000","0.01424","7.86475"
"0.25000","0.01902","14.28361"
"0.30000","0.02352","22.63836"
"0.35000","0.02802","27.77491"
"0.40000","0.03242","30.46108"
"0.45000","0.03683","32.17198"
"0.50000","0.04123","36.53596"
"0.55000","0.04545","38.90959"
"0.60000","0.04976","42.27325"
"0.65000","0.05407","47.39017"
"0.70000","0.05829","52.54973"
"0.75000","0.06241","57.44522"
"0.80000","0.06672","61.35607"
"0.85000","0.07094","65.09122"
"0.90000","0.07506","69.22196"
"0.95000","0.07928","75.85706"
"1.00000","0.08349","87.89869"
"1.05000","0.08762","104.45528"
"1.10000","0.09174","129.78023"
"1.15000","0.09596","159.11235"
"1.20000","0.10008","189.44955"
"1.25000","0.10430","222.22775"
"1.30000","0.10842","256.62231"
"1.35000","0.11264","295.08398"
"1.40000","0.11676","336.00323"
"1.45000","0.12088","378.62173"
"1.50000","0.12510","424.20184"
"1.55000","0.12922","473.25989"
"1.60000","0.13334","526.44653"
"1.65000","0.13756","583.06757"
"1.70000","0.14178","640.52747"
"1.75000","0.14581","699.28558"
"1.80000","0.15002","760.07227"
"1.85000","0.15424","820.09424"
"1.90000","0.15836","881.51123"
"1.95000","0.16249","941.82092"
"2.00000","0.16670","1001.06226"
"2.05000","0.17083","1060.44482"
"2.10000","0.17495","1120.26050"
"2.15000","0.17926","1181.37231"
"2.20000","0.18348","1241.59033"
"2.25000","0.18760","1300.22498"
"2.30000","0.19182","1358.16699"
"2.35000","0.19594","1413.25989"
"2.40000","0.20016","1469.10217"
"2.45000","0.20428","1524.59155"
"2.50000","0.20850","1579.14111"
"2.55000","0.21262","1633.30750"
"2.60000","0.21674","1685.09387"
"2.65000","0.22096","1734.48975"
"2.70000","0.22518","1782.02466"
"2.75000","0.22930","1827.83289"
"2.80000","0.23342","1870.84521"
"2.85000","0.23764","1911.54651"
"2.90000","0.24176","1951.72107"
"2.95000","0.24589","1992.03845"
"3.00000","0.25010","2031.78259"
"3.05000","0.25423","2070.34497"
"3.10000","0.25835","2109.18091"
"3.15000","0.26257","2147.11157"
"3.20000","0.26669","2184.05273"
"3.25000","0.27081","2222.57764"
"3.30000","0.27503","2259.27856"
"3.35000","0.27915","2296.86646"
"3.40000","0.28337","2334.29272"
"3.45000","0.28749","2372.37573"
"3.50000","0.29171","2409.46753"
"3.55000","0.29593","2446.45654"
"3.60000","0.30005","2484.10083"
"3.65000","0.30417","2520.78540"
"3.70000","0.30839","2557.45972"
"3.75000","0.31261","2593.57861"
"3.80000","0.31673","2630.33691"
"3.85000","0.32095","2666.72632"
"3.90000","0.32507","2703.16016"
"3.95000","0.32919","2739.88013"
"4.00000","0.33341","2776.31665"
"4.05000","0.33762","2812.29639"
"4.10000","0.34175","2848.19019"
"4.15000","0.34596","2883.92114"
"4.20000","0.35009","2919.24951"
"4.25000","0.35430","2953.54175"
"4.30000","0.35833","2988.52026"
"4.35000","0.36255","3023.41162"
"4.40000","0.36677","3058.55664"
"4.45000","0.37080","3093.82202"
"4.50000","0.37501","3128.14526"
"4.55000","0.37914","3162.76367"
"4.60000","0.38335","3198.11206"
"4.65000","0.38757","3234.35449"
"4.70000","0.39179","3269.46704"
"4.75000","0.39591","3303.91797"
"4.80000","0.40003","3339.26270"
"4.85000","0.40425","3374.54761"
"4.90000","0.40847","3409.50562"
"4.95000","0.41259","3445.11865"
"5.00000","0.41671","3480.43896"
"5.05000","0.42093","3514.77490"
"5.10000","0.42505","3549.67407"
"5.15000","0.42927","3584.92065"
"5.20000","0.43349","3618.67578"
"5.25000","0.43761","3652.26709"
"5.30000","0.44173","3686.38379"
"5.35000","0.44595","3721.18872"
"5.40000","0.45007","3755.36279"
"5.45000","0.45429","3788.81982"
"5.50000","0.45841","3822.58154"
"5.55000","0.46263","3856.43359"
"5.60000","0.46675","3889.77271"
"5.65000","0.47088","3922.14062"
"5.70000","0.47509","3951.87036"
"5.75000","0.47922","3981.48779"
"5.80000","0.48334","4012.16187"
"5.85000","0.48765","4043.37231"
"5.90000","0.49177","4075.21997"
"5.95000","0.49590","4107.27490"
"6.00000","0.50011","4140.40088"
"6.05000","0.50424","4171.53027"
"6.10000","0.50836","4203.16699"
"6.15000","0.51257","4235.31348"
"6.20000","0.51679","4267.53467"
"6.25000","0.52091","4298.92725"
"6.30000","0.52504","4330.69141"
"6.35000","0.52925","4362.45410"
"6.40000","0.53338","4394.22998"
"6.45000","0.53750","4426.70947"
"6.50000","0.54172","4458.67334"
"6.55000","0.54584","4490.81104"
"6.60000","0.55006","4522.53516"
"6.65000","0.55418","4555.02490"
"6.70000","0.55840","4587.10107"
"6.75000","0.56252","4619.12109"
"6.80000","0.56674","4650.65381"
"6.85000","0.57095","4681.97803"
"6.90000","0.57517","4714.01123"
"6.95000","0.57929","4746.64697"
"7.00000","0.58342","4779.81885"
"7.05000","0.58763","4812.10498"
"7.10000","0.59176","4844.70068"
"7.15000","0.59597","4878.01660"
"7.20000","0.60019","4910.16943"
"7.25000","0.60431","4942.68848"
"7.30000","0.60844","4974.88770"
"7.35000","0.61265","5006.63428"
"7.40000","0.61678","5039.40918"
"7.45000","0.62090","5072.79541"
"7.50000","0.62502","5105.93750"
"7.55000","0.62924","5138.66602"
"7.60000","0.63346","5171.23926"
"7.65000","0.63758","5204.85449"
"7.70000","0.64170","5237.37842"
"7.75000","0.64592","5270.03125"
"7.80000","0.65004","5302.66211"
"7.85000","0.65417","5335.85303"
"7.90000","0.65838","5368.97949"
"7.95000","0.66260","5404.50586"
"8.00000","0.66672","5439.06543"
"8.05000","0.67094","5472.25977"
"8.10000","0.67506","5506.25342"
"8.15000","0.67928","5540.71631"
"8.20000","0.68350","5573.92334"
"8.25000","0.68762","5608.32227"
"8.30000","0.69174","5642.28418"
"8.35000","0.69587","5676.06592"
"8.40000","0.70008","5708.57959"
"8.45000","0.70420","5742.06836"
"8.50000","0.70833","5776.64990"
"8.55000","0.71254","5809.88818"
"8.60000","0.71667","5844.20508"
"8.65000","0.72088","5879.07080"
"8.70000","0.72501","5914.38086"
"8.75000","0.72922","5948.37939"
"8.80000","0.73344","5983.20215"
"8.85000","0.73756","6018.11719"
"8.90000","0.74178","6051.76270"
"8.95000","0.74590","6085.57471"
"9.00000","0.75003","6120.18652"
"9.05000","0.75434","6155.83203"
"9.10000","0.75846","6190.42285"
"9.15000","0.76258","6226.13379"
"9.20000","0.76680","6261.21387"
"9.25000","0.77092","6295.20654"
"9.30000","0.77505","6330.77197"
"9.35000","0.77926","6366.16064"
"9.40000","0.78339","6400.11279"
"9.45000","0.78760","6435.32861"
"9.50000","0.79173","6468.64404"
"9.55000","0.79594","6502.88770"
"9.60000","0.80007","6539.03564"
"9.65000","0.80419","6576.09619"
"9.70000","0.80841","6610.74170"
"9.75000","0.81253","6644.52979"
"9.80000","0.81665","6681.14502"
"9.85000","0.82087","6717.15527"
"9.90000","0.82509","6750.57373"
"9.95000","0.82921","6779.24072"
"10.00000","0.83333","6805.94092"
"10.05000","0.83755","6845.81250"
"10.10000","0.84177","6885.27881"
"10.15000","0.84598","6924.22412"
"10.20000","0.85011","6959.10303"
