Specimen properties : Length,100,mm
Specimen properties : Thickness,1,mm
Specimen properties : Width,10,mm
Test : Rate 1,5,mm/min
,,
Time,Extension,Load
(s),(mm),(N)
45.4,3.7835,26932.80078
45.45,3.78762,26936.67188
45.5,3.79174,26941.22461
45.55,3.79596,26947.1875
45.6,3.80008,26951.79492
45.65,3.80421,26956.69141
45.7,3.80842,26961.10352
45.75,3.81264,26965.55273
45.8,3.81676,26970.23828
45.85,3.82098,26974.16797
45.9,3.8252,26976.56445
45.95,3.82932,26980.87695
46,3.83344,26984.78125
46.05,3.83766,26988.95312
46.1,3.84178,26993.26953
46.15,3.846,26998.30469
46.2,3.85012,27003.88477
46.25,3.85434,27007.63086
46.3,3.85846,27011.94336
46.35,3.86258,27016.18945
46.4,3.8668,27019.95703
46.45,3.87092,27023.5
46.5,3.87505,27027.37695
46.55,3.87926,27032.04492
46.6,3.88348,27034.60547
46.65,3.8876,27038.11914
46.7,3.89173,27042.78516
46.75,3.89594,27046.25391
46.8,3.90007,27049.87305
46.85,3.90419,27053.09375
46.9,3.9085,27057.40625
46.95,3.91262,27060.85156
47,3.91675,27062.66602
47.05,3.92096,27068.40625
47.1,3.92509,27073.6875
47.15,3.9293,27076.32422
47.2,3.93343,27079.40625
47.25,3.93764,27083.03125
47.3,3.94177,27086.00781
47.35,3.94589,27090.42383
47.4,3.95011,27095.56836
47.45,3.95423,27098.84961
47.5,3.95835,27101.63086
47.55,3.96248,27106.99414
47.6,3.96669,27111.62305
47.65,3.97082,27116.57031
47.7,3.97494,27119.84766
47.75,3.97925,27124.63477
47.8,3.98337,27128.85352
47.85,3.98759,27132.85156
47.9,3.99181,27135.8125
47.95,3.99593,27139.25195
48,4.00015,27141.96484
48.05,4.00427,27145.82031
48.1,4.00849,27148.61133
48.15,4.01261,27152.45703
48.2,4.01673,27157.27344
48.25,4.02095,27161.59766
48.3,4.02517,27165.8418
48.35,4.02929,27168.50977
48.4,4.03341,27172.26953
48.45,4.03763,27175.65039
48.5,4.04175,27179.0293
48.55,4.04597,27184.09375
48.6,4.05019,27188.63281
48.65,4.05431,27193.09375
48.7,4.05853,27194.09766
48.75,4.06265,27197.14648
48.8,4.06687,27199.23242
48.85,4.07099,27202.17188
48.9,4.0752,27205.46484
48.95,4.07933,27208.29297
49,4.08354,27209.70508
49.05,4.08767,27213.49023
49.1,4.09189,27217.74219
49.15,4.09601,27221.20898
49.2,4.10013,27222.32617
49.25,4.10435,27227.30078
49.3,4.10847,27230.92773
49.35,4.11259,27233.81836
49.4,4.11672,27237.72266
49.45,4.12084,27241.03125
49.5,4.12496,27244.03516
49.55,4.12918,27248.6875
49.6,4.1334,27252.7168
49.65,4.13752,27256.70117
49.7,4.14164,27260.74414
49.75,4.14586,27265.0293
49.8,4.15008,27269.1875
49.85,4.1542,27271.09766
49.9,4.15842,27275.85938
49.95,4.16263,27278.42383
50,4.16676,27281.07227
50.05,4.17097,27284.74414
50.1,4.17519,27288.69531
50.15,4.17941,27291.4082
50.2,4.18353,27296.85547
50.25,4.18765,27300.16992
50.3,4.19187,27303.13477
50.35,4.19599,27306.0918
50.4,4.20012,27308.28516
50.45,4.20433,27311.41797
50.5,4.20855,27314.20898
50.55,4.21267,27317.70312
50.6,4.2168,27320.30078
50.65,4.22101,27322.52539
50.7,4.22514,27325.52539
50.75,4.22926,27329.25781
50.8,4.23348,27331.82617
50.85,4.2376,27334.06055
50.9,4.24172,27336.63086
50.95,4.24594,27341.07617
51,4.25006,27343.74414
51.05,4.25428,27347.58789
51.1,4.2584,27353.26562
51.15,4.26262,27354.22852
51.2,4.26674,27354.91406
51.25,4.27096,27358.65039
51.3,4.27517,27362.22656
51.35,4.2793,27364.44531
51.4,4.28342,27368.31055
51.45,4.28764,27372.16992
51.5,4.29176,27374.5625
51.55,4.29588,27377.58789
51.6,4.3001,27382.35352
51.65,4.30422,27384.6543
51.7,4.30844,27387.54492
51.75,4.31256,27391.37109
51.8,4.31678,27395.46289
51.85,4.3209,27397.35156
51.9,4.32503,27400.78906
51.95,4.32934,27403.73633
52,4.33346,27406.64844
52.05,4.33758,27409.32617
52.1,4.34189,27413.51172
52.15,4.34602,27414.63281
52.2,4.35014,27417.54102
52.25,4.35436,27420.55273
52.3,4.35857,27423.87109
52.35,4.3627,27427.14062
52.4,4.36682,27429.45508
52.45,4.37094,27432.40625
52.5,4.37516,27435.82227
52.55,4.37928,27438.70898
52.6,4.3835,27444.16211
52.65,4.38762,27447.24805
52.7,4.39175,27448.47461
52.75,4.39596,27449.82812
52.8,4.40009,27451.00781
52.85,4.4043,27452.51367
52.9,4.40843,27455.60742
52.95,4.41255,27457.88672
53,4.41677,27460.60547
53.05,4.42089,27462.90625
53.1,4.42511,27466.54688
53.15,4.42932,27469.08984
53.2,4.43345,27470.45117
53.25,4.43766,27473.2793
53.3,4.44179,27476.49023
53.35,4.446,27478.75391
53.4,4.45013,27481.40625
53.45,4.45425,27484.5957
53.5,4.45847,27486.5918
53.55,4.46259,27490.04688
53.6,4.46671,27492.96484
53.65,4.47093,27496.68359
53.7,4.47514,27500.00586
53.75,4.47917,27504.02148
53.8,4.48339,27506.63086
53.85,4.48761,27508.05859
53.9,4.49173,27510.94141
53.95,4.49585,27513.85547
54,4.50007,27516.34961
54.05,4.50429,27518.88086
54.1,4.50841,27522.58984
54.15,4.51263,27525.18359
54.2,4.51675,27527.66992
54.25,4.52097,27533.26367
54.3,4.52509,27535.51562
54.35,4.52931,27536.71094
54.4,4.53343,27538.30859
54.45,4.53755,27540.51758
54.5,4.54177,27542.99609
54.55,4.54589,27545.64258
54.6,4.55011,27548.91797
54.65,4.55423,27550.78906
54.7,4.55845,27552.86328
54.75,4.56257,27555.04297
54.8,4.5667,27556.5957
54.85,4.57091,27558.55664
54.9,4.57513,27559.67969
54.95,4.57916,27561.72656
55,4.58338,27565.51562
55.05,4.58759,27569.94141
55.1,4.59172,27571.63867
55.15,4.59584,27573.58789
55.2,4.60006,27575.66211
55.25,4.60427,27577.60352
55.3,4.6084,27580.93164
55.35,4.61261,27582.58203
55.4,4.61674,27584.7832
55.45,4.62086,27586.45703
55.5,4.62508,27588.54883
55.55,4.62929,27591.11914
55.6,4.63342,27593.85156
55.65,4.63754,27596.28906
55.7,4.64176,27599.25977
55.75,4.64588,27603.40234
55.8,4.65009,27605.37305
55.85,4.65431,27608.10352
55.9,4.65843,27609.55078
55.95,4.66256,27611.56641
56,4.66678,27614.11719
56.05,4.6709,27616.36328
56.1,4.67511,27618.3418
56.15,4.67924,27620.94531
56.2,4.68345,27623.38477
56.25,4.68758,27625.12891
56.3,4.69179,27628.38086
56.35,4.69601,27631.5918
56.4,4.70013,27633.60352
56.45,4.70426,27635.64062
56.5,4.70847,27637.7207
56.55,4.71269,27639.25586
56.6,4.71672,27642.43555
56.65,4.72094,27647.35156
56.7,4.72515,27648.28125
56.75,4.72937,27649.375
56.8,4.73349,27649.51562
56.85,4.73762,27651.26758
56.9,4.74183,27652.47266
56.95,4.74596,27652.57422
57,4.75008,27656.08789
57.05,4.7543,27658.75391
57.1,4.75842,27659.66992
57.15,4.76254,27660.22461
57.2,4.76685,27663.07617
57.25,4.77098,27664.01562
57.3,4.7751,27666.11328
57.35,4.77932,27668.46484
57.4,4.78344,27671.80469
57.45,4.78756,27672.70117
57.5,4.79178,27674.53711
57.55,4.796,27675.92969
57.6,4.80012,27677.51758
57.65,4.80424,27680.27734
57.7,4.80846,27683.03711
57.75,4.81258,27686.75977
57.8,4.8168,27688.66797
57.85,4.82092,27691.20312
57.9,4.82514,27693.0957
57.95,4.82926,27694.39844
58,4.83348,27696.68164
58.05,4.8377,27698.69336
58.1,4.84182,27699.48242
58.15,4.84594,27701.16406
58.2,4.85016,27703.26758
58.25,4.85428,27706.88281
58.3,4.8584,27710.19727
58.35,4.86262,27712.55078
58.4,4.86674,27713.74219
58.45,4.87096,27715.63867
58.5,4.87508,27717.18164
58.55,4.8793,27718.10352
58.6,4.88342,27720.06055
58.65,4.88764,27721.0293
58.7,4.89176,27723.2793
58.75,4.89598,27724.73633
58.8,4.9001,27724.99609
58.85,4.90423,27726.63867
58.9,4.90844,27728.97852
58.95,4.91266,27729.09375
59,4.91678,27731.72852
59.05,4.921,27734.99414
59.1,4.92522,27736.46094
59.15,4.92934,27735.33789
59.2,4.93346,27738.66406
59.25,4.93768,27739.50977
59.3,4.9418,27740.97656
59.35,4.94593,27743.44727
59.4,4.95014,27744.58008
59.45,4.95427,27746.90625
59.5,4.95839,27747.83984
59.55,4.96261,27749.66016
59.6,4.96673,27751.13867
59.65,4.97085,27752.95703
59.7,4.97507,27755.41602
59.75,4.97929,27758.30273
59.8,4.98341,27760.26172
59.85,4.98753,27762.50195
59.9,4.99175,27764.67578
59.95,4.99597,27765.27148
60,5.00009,27767.77148
60.05,5.00431,27770.76367
60.1,5.00843,27771.26953
60.15,5.01265,27772.00391
60.2,5.01677,27774.10352
60.25,5.02099,27775.23633
60.3,5.02502,27777.53125
60.35,5.02914,27779.82617
60.4,5.03345,27782.51758
60.45,5.03767,27784.06055
60.5,5.04179,27785.48828
60.55,5.04601,27787.42578
60.6,5.05022,27788.89258
60.65,5.05435,27790.80859
60.7,5.05856,27794.72266
60.75,5.06269,27793.60938
60.8,5.0669,27793.46484
60.85,5.07102,27792.54688
60.9,5.07515,27792.55859
60.95,5.07936,27793.00195
61,5.08349,27795.13086
61.05,5.08761,27797.08594
61.1,5.09183,27797.85156
61.15,5.09595,27797.36523
61.2,5.10007,27798.27734
61.25,5.10429,27800.08984
61.3,5.10841,27800.24023
61.35,5.11254,27802.98633
61.4,5.11666,27804.625
61.45,5.12088,27807.62695
61.5,5.125,27808.66016
61.55,5.12912,27810.36719
61.6,5.13334,27812.11523
61.65,5.13756,27813.68555
61.7,5.14168,27815.55273
61.75,5.1459,27817.19922
61.8,5.15011,27818.52539
61.85,5.15424,27820.82812
61.9,5.15845,27822.53711
61.95,5.16267,27822.96875
62,5.16679,27825.06055
62.05,5.17101,27827.99805
62.1,5.17523,27827.61719
62.15,5.17935,27829.22461
62.2,5.18347,27830.61523
62.25,5.18769,27831.16406
62.3,5.19181,27834.21875
62.35,5.19594,27836.12109
62.4,5.20015,27838.16211
62.45,5.20428,27839.21094
62.5,5.2084,27840.24414
62.55,5.21252,27841.24219
62.6,5.21674,27842.21094
62.65,5.22096,27842.93945
62.7,5.22508,27844.79883
62.75,5.2293,27845.5918
62.8,5.23342,27845.27148
62.85,5.23764,27845.25781
62.9,5.24176,27845.9043
62.95,5.24598,27846.59766
63,5.2501,27848.23828
63.05,5.25422,27849.93945
63.1,5.25844,27850.97656
63.15,5.26266,27852.625
63.2,5.26678,27853.33008
63.25,5.27099,27854.73828
63.3,5.27512,27854.99609
63.35,5.27924,27855.67383
63.4,5.28346,27856.16602
63.45,5.28758,27857.22266
63.5,5.2918,27858.49023
63.55,5.29583,27859.10156
63.6,5.30004,27860.45117
63.65,5.30426,27860.89844
63.7,5.30838,27863.4043
63.75,5.3126,27864.48633
63.8,5.31682,27864.95703
63.85,5.32094,27866.68164
63.9,5.32516,27867.56836
63.95,5.32937,27868.56641
64,5.3335,27869.29688
64.05,5.33762,27871.04883
64.1,5.34184,27872.60742
64.15,5.34605,27872.84766
64.2,5.35018,27873.13672
64.25,5.3543,27874.48828
64.3,5.35852,27874.77344
64.35,5.36264,27875.83984
64.4,5.36676,27877
64.45,5.37098,27878.6543
64.5,5.3751,27879.48242
64.55,5.37923,27880.79688
64.6,5.38344,27882.06641
64.65,5.38757,27882.83789
64.7,5.39178,27884.99219
64.75,5.39591,27888.43555
64.8,5.40003,27887.8125
64.85,5.40425,27886.22461
64.9,5.40837,27884.70117
64.95,5.41259,27885.51953
65,5.4168,27886.75195
65.05,5.42093,27887.91406
65.1,5.42505,27887.06055
65.15,5.42927,27887.39258
65.2,5.43348,27887.62109
65.25,5.4376,27888.32422
65.3,5.44182,27889.51367
65.35,5.44595,27889.85742
65.4,5.45007,27890.08984
65.45,5.45429,27890.31836
65.5,5.4585,27891.12891
65.55,5.46263,27891.31445
65.6,5.46675,27892.66016
65.65,5.47096,27892.36523
65.7,5.47509,27894.10352
65.75,5.47921,27894.61328
65.8,5.48343,27895.96094
65.85,5.48755,27898.11523
65.9,5.49167,27898.82031
65.95,5.49598,27899.65039
66,5.5002,27900.03711
66.05,5.50432,27900.24609
66.1,5.50845,27902.45703
66.15,5.51266,27902.76367
66.2,5.51679,27904.16406
66.25,5.52091,27904.57031
66.3,5.52513,27904.57031
66.35,5.52934,27907.6543
66.4,5.53347,27909.67773
66.45,5.53759,27910.48047
66.5,5.54181,27909.36523
66.55,5.54593,27909.54102
66.6,5.55005,27910.58789
66.65,5.55427,27911.06055
66.7,5.55849,27911.81445
66.75,5.56261,27911.2793
66.8,5.56673,27911.03516
66.85,5.57095,27910.42969
66.9,5.57507,27908.87109
66.95,5.5792,27911.17383
67,5.58341,27912.22656
67.05,5.58763,27911.50195
67.1,5.59175,27910.97461
67.15,5.59597,27912.19922
67.2,5.60019,27912.65039
67.25,5.60431,27912.9082
67.3,5.60843,27913.76367
67.35,5.61265,27913.93164
67.4,5.61677,27913.87109
67.45,5.62099,27914.39258
67.5,5.62511,27913.59961
67.55,5.62933,27913.91406
67.6,5.63336,27913.42383
67.65,5.63767,27912.69727
67.7,5.64179,27913.9668
67.75,5.64592,27914.39062
67.8,5.65013,27915.51953
67.85,5.65425,27916.98828
67.9,5.65847,27917.61133
67.95,5.66259,27918.70508
68,5.66681,27919.57031
68.05,5.67093,27919.36328
68.1,5.67515,27919.23828
68.15,5.67937,27919.30664
68.2,5.68349,27920.19922
68.25,5.68761,27921.01172
68.3,5.69183,27920.66016
68.35,5.69605,27920.31445
68.4,5.70008,27921.06641
68.45,5.7042,27922.94531
68.5,5.70851,27924.02734
68.55,5.71263,27923.06836
68.6,5.71676,27923.44922
68.65,5.72097,27923.96289
68.7,5.72519,27924.50391
68.75,5.72931,27927.19922
68.8,5.73344,27927.32422
68.85,5.73756,27925.98633
68.9,5.74178,27924.06445
68.95,5.7459,27923.67578
69,5.75002,27924.44531
69.05,5.75424,27923.08594
69.1,5.75846,27921.54492
69.15,5.76258,27922.40039
69.2,5.7668,27922.02539
69.25,5.77092,27921.02734
69.3,5.77504,27921.63281
69.35,5.77926,27921.8457
69.4,5.78338,27921.96484
69.45,5.78751,27921.80273
69.5,5.79172,27922.27344
69.55,5.79594,27921.97852
69.6,5.80006,27921.75391
69.65,5.80419,27921.74609
69.7,5.8085,27921.25977
69.75,5.81262,27920.56445
69.8,5.81674,27921.38086
69.85,5.82096,27921.85547
69.9,5.82508,27922.4375
69.95,5.82921,27922.65039
70,5.83342,27924.02539
70.05,5.83764,27924.04883
70.1,5.84176,27924.12305
70.15,5.84588,27924.55273
70.2,5.8502,27923.99609
70.25,5.85432,27922.57422
70.3,5.85844,27922.94922
70.35,5.86256,27923.30469
70.4,5.86678,27927.03516
70.45,5.8709,27926.50977
70.5,5.87503,27925.52148
70.55,5.87924,27924.98438
70.6,5.88346,27927.11914
70.65,5.88758,27925.94727
70.7,5.8918,27923.70312
70.75,5.89602,27922.76953
70.8,5.90014,27920.52539
70.85,5.90426,27919.6582
70.9,5.90848,27919.22461
70.95,5.9126,27919.15234
71,5.91673,27919.17578
71.05,5.92094,27918.2168
71.1,5.92516,27916.71094
71.15,5.92928,27917.77344
71.2,5.9335,27918.44531
71.25,5.93762,27916.86133
71.3,5.94175,27916.2793
71.35,5.94587,27916.67969
71.4,5.95009,27916.1875
71.45,5.95421,27915.48438
71.5,5.95833,27914.99805
71.55,5.96255,27914.66406
71.6,5.96677,27914.16992
71.65,5.97089,27914.52344
71.7,5.97511,27913.75
71.75,5.97932,27911.88867
71.8,5.98345,27911.15625
71.85,5.98766,27911.12891
71.9,5.99179,27910.98047
71.95,5.996,27910.88477
72,6.00013,27911.14844
72.05,6.00434,27910.91211
72.1,6.00847,27910
72.15,6.01259,27909.49414
72.2,6.01671,27909.5293
72.25,6.02093,27909.17383
72.3,6.02515,27908.37305
72.35,6.02936,27907.46484
72.4,6.03349,27907.05469
72.45,6.0377,27905.5332
72.5,6.04183,27906.70898
72.55,6.04604,27906.97461
72.6,6.05017,27906.29297
72.65,6.05438,27905.89844
72.7,6.05851,27904.61719
72.75,6.06272,27903.24023
72.8,6.06684,27904.91602
72.85,6.07097,27902.76758
72.9,6.07518,27901.16406
72.95,6.0794,27900.51953
73,6.08343,27898.44336
73.05,6.08755,27894.9375
73.1,6.09186,27893.23633
73.15,6.09589,27892.30859
73.2,6.10002,27891.37891
73.25,6.10423,27889.9668
73.3,6.10836,27889.25977
73.35,6.11257,27887.8418
73.4,6.11679,27887.17773
73.45,6.12091,27885.34375
73.5,6.12504,27882.88086
73.55,6.12916,27881.57227
73.6,6.13338,27881.0293
73.65,6.13759,27880.70703
73.7,6.14172,27878.98242
73.75,6.14603,27877.22656
73.8,6.15015,27876.13867
73.85,6.15427,27874.98438
73.9,6.15849,27874.83594
73.95,6.16271,27875.11328
74,6.16683,27872.89062
74.05,6.17105,27872.11523
74.1,6.17517,27872.00781
74.15,6.17929,27870.52148
74.2,6.18351,27869.82031
74.25,6.18763,27868.5918
74.3,6.19185,27866.74219
74.35,6.19597,27865.67578
74.4,6.2001,27865.18555
74.45,6.20422,27866.95703
74.5,6.20844,27865.9082
74.55,6.21265,27864.73633
74.6,6.21677,27862.74023
74.65,6.22099,27861.68359
74.7,6.22502,27858.97461
74.75,6.22924,27856.24219
74.8,6.23346,27854.07227
74.85,6.23758,27851.65039
74.9,6.2418,27851.32812
74.95,6.24592,27849.99023
75,6.25013,27847.59961
75.05,6.25426,27845.73047
75.1,6.25848,27843.38672
75.15,6.2626,27840.89062
75.2,6.26672,27839.43945
75.25,6.27094,27838.77539
75.3,6.27515,27837.89648
75.35,6.27918,27835.29492
75.4,6.2834,27833.72656
75.45,6.28762,27831.2168
75.5,6.29174,27829.39062
75.55,6.29586,27826.10156
75.6,6.30008,27824.16602
75.65,6.3043,27822.85547
75.7,6.30842,27820.01172
75.75,6.31264,27817.32422
75.8,6.31685,27814.83008
75.85,6.32098,27812.86914
75.9,6.32519,27811.23828
75.95,6.32941,27810.71094
76,6.33353,27809.08398
76.05,6.33766,27807.44141
76.1,6.34187,27805.4082
76.15,6.346,27803.34375
76.2,6.35012,27801.56055
76.25,6.35434,27799.28516
76.3,6.35846,27796.76367
76.35,6.36258,27793.94922
76.4,6.36671,27791.50977
76.45,6.37092,27789.29492
76.5,6.37505,27787.19922
76.55,6.37917,27786.26367
76.6,6.38348,27785.30469
76.65,6.3876,27782.63477
76.7,6.39173,27779.09375
76.75,6.39585,27775.82617
76.8,6.40006,27774.42969
76.85,6.40419,27771.89062
76.9,6.4084,27771.67188
76.95,6.41262,27769.5625
77,6.41675,27764.60352
77.05,6.42096,27758.03711
77.1,6.42509,27754.93359
77.15,6.4293,27751.36523
77.2,6.43342,27749.04883
77.25,6.43764,27746.04492
77.3,6.44176,27742.54102
77.35,6.44598,27738.3125
77.4,6.45011,27735.50391
77.45,6.45432,27733.03125
77.5,6.45845,27729.86914
77.55,6.46257,27725.54492
77.6,6.46678,27722.71875
77.65,6.471,27719.02344
77.7,6.47512,27715.50195
77.75,6.47925,27712.01367
77.8,6.48346,27708.13086
77.85,6.48759,27704.70703
77.9,6.49171,27702.53711
77.95,6.49602,27700.79102
78,6.50014,27698.30859
78.05,6.50427,27695.17969
78.1,6.50848,27692.83594
78.15,6.5127,27689.11133
78.2,6.51682,27685.26758
78.25,6.52095,27681.38086
78.3,6.52516,27677.85742
78.35,6.52929,27674.41797
78.4,6.53341,27671.53125
78.45,6.53763,27668.17773
78.5,6.54184,27668.27344
78.55,6.54597,27665.29688
78.6,6.55009,27660.80273
78.65,6.55431,27655.79883
78.7,6.55843,27651.16602
78.75,6.56255,27645.01367
78.8,6.56677,27639.47266
78.85,6.57099,27635.48828
78.9,6.57511,27630.52344
78.95,6.57933,27626.74609
79,6.58345,27621.29297
79.05,6.58767,27615.43945
79.1,6.59179,27612.06055
79.15,6.59601,27608.5918
79.2,6.60013,27603.98047
79.25,6.60435,27599.33398
79.3,6.60847,27594.99805
79.35,6.61269,27591.125
79.4,6.61681,27586.8418
79.45,6.62093,27581.05664
79.5,6.62515,27576.7832
79.55,6.62927,27571.83594
79.6,6.63339,27567.24023
79.65,6.63761,27562.30469
79.7,6.64183,27556.56836
79.75,6.64595,27550.47461
79.8,6.65017,27543.60156
79.85,6.65429,27538.00977
79.9,6.65841,27533.09961
79.95,6.66263,27529.42383
80,6.66685,27524.26172
80.05,6.67097,27518.83008
80.1,6.67519,27514.24219
80.15,6.6794,27509.71875
80.2,6.68353,27504.46289
80.25,6.68765,27497.60156
80.3,6.69187,27491.05469
80.35,6.69608,27485.13867
80.4,6.70021,27478.46289
80.45,6.70433,27472.67188
80.5,6.70855,27466.23242
80.55,6.71267,27458.97266
80.6,6.71679,27454.79297
80.65,6.72101,27449.86719
80.7,6.72513,27441.70703
80.75,6.72926,27433.94336
80.8,6.73347,27425.93945
80.85,6.73769,27419.53711
80.9,6.74181,27414.11328
80.95,6.74594,27407.83398
81,6.75006,27399.30078
81.05,6.75428,27389.20703
81.1,6.75849,27381.30078
81.15,6.76262,27373.45898
81.2,6.76683,27365.15625
81.25,6.77096,27358.34375
81.3,6.77508,27349.89844
81.35,6.7793,27341.27344
81.4,6.78351,27333.14844
81.45,6.78754,27324.90234
81.5,6.79176,27317.24023
81.55,6.79588,27308.95312
81.6,6.8001,27300.73633
81.65,6.80422,27291.7832
81.7,6.80844,27283.71094
81.75,6.81266,27274.66602
81.8,6.81678,27267.11328
81.85,6.821,27257.44531
81.9,6.82512,27248.75586
81.95,6.82924,27239.76953
82,6.83346,27231.36523
82.05,6.83758,27223.31641
82.1,6.8418,27215.64258
82.15,6.84592,27206.92773
82.2,6.85014,27198.04297
82.25,6.85426,27187.38281
82.3,6.85848,27178.5918
82.35,6.86269,27169.35938
82.4,6.86682,27159.53516
82.45,6.87094,27150.02344
82.5,6.87516,27141.40039
82.55,6.87928,27136.60938
82.6,6.8835,27125.42188
82.65,6.88762,27113.67578
82.7,6.89184,27101.79102
82.75,6.89605,27091.35742
82.8,6.90008,27079.86914
82.85,6.9043,27070.46875
82.9,6.90852,27060.38867
82.95,6.91264,27048.36719
83,6.91676,27037.60352
83.05,6.92098,27028.40625
83.1,6.9251,27017.53125
83.15,6.92923,27007.92578
83.2,6.93344,26997.95117
83.25,6.93757,26987.97266
83.3,6.94169,26978.14453
83.35,6.94591,26969.87109
83.4,6.95012,26960.09375
83.45,6.95425,26949.10742
83.5,6.95837,26937.30664
83.55,6.96259,26925.39062
83.6,6.9668,26915.68164
83.65,6.97093,26903.73633
83.7,6.97514,26892.91602
83.75,6.97927,26882.06641
83.8,6.98339,26870.19336
83.85,6.98761,26859.95898
83.9,6.99182,26849.56445
83.95,6.99595,26838.00391
84,7.00016,26827.14258
84.05,7.00429,26815.77148
84.1,7.0085,26805.86523
84.15,7.01263,26795.64453
84.2,7.01684,26785.00195
84.25,7.02106,26773.16016
84.3,7.02518,26761.32617
84.35,7.0294,26751.14062
84.4,7.03352,26739.12109
84.45,7.03774,26728.6875
84.5,7.04186,26716.91211
84.55,7.04608,26704.92578
84.6,7.0502,26693.32617
84.65,7.05433,26683.77734
84.7,7.05854,26672.71484
84.75,7.06266,26660.13867
84.8,7.06679,26647.625
84.85,7.07091,26637.41992
84.9,7.07513,26627.46875
84.95,7.07925,26615.61328
85,7.08337,26602.96875
85.05,7.08759,26591.57227
85.1,7.09171,26577.29688
85.15,7.09584,26565.35547
85.2,7.10005,26553.21094
85.25,7.10427,26541.01172
85.3,7.10839,26529.45312
85.35,7.11252,26517.89258
85.4,7.11673,26505.90234
85.45,7.12086,26493.91797
85.5,7.12507,26481.9375
85.55,7.12929,26470.41992
85.6,7.13341,26458.39062
85.65,7.13763,26445.40039
85.7,7.14185,26433.39258
85.75,7.14597,26420.92188
85.8,7.15019,26408.74023
85.85,7.15431,26397.97852
85.9,7.15853,26385.91016
85.95,7.16265,26373.29492
86,7.16687,26362.53516
86.05,7.17108,26350.71875
86.1,7.17521,26339.02344
86.15,7.17933,26326.79883
86.2,7.18355,26315.01172
86.25,7.18767,26303.2793
86.3,7.19179,26289.90625
86.35,7.19592,26278.67383
86.4,7.20013,26266.28906
86.45,7.20426,26254.66797
86.5,7.20838,26243.12109
86.55,7.2126,26231.08398
86.6,7.21681,26221.81445
86.65,7.22094,26209.7832
86.7,7.22515,26195.18359
86.75,7.22937,26181.0332
86.8,7.23349,26166.91016
86.85,7.23762,26153.29102
86.9,7.24174,26141.41406
86.95,7.24595,26127.78906
87,7.25008,26113.04492
87.05,7.25429,26100.66016
87.1,7.25851,26087.38867
87.15,7.26263,26074.39258
87.2,7.26676,26061.83594
87.25,7.27097,26048.83984
87.3,7.2751,26036.96289
87.35,7.27922,26024.79492
87.4,7.28344,26013.53516
87.45,7.28756,26001.21875
87.5,7.29178,25988.24414
87.55,7.2959,25975.94531
87.6,7.30012,25962.77344
87.65,7.30433,25948.32227
87.7,7.30846,25934.54492
87.75,7.31277,25921.38086
87.8,7.31689,25907.50391
87.85,7.32101,25893.58008
87.9,7.32523,25880.48633
87.95,7.32935,25866.50781
88,7.33348,25854.14648
88.05,7.33769,25841.99219
88.1,7.34191,25829.67969
88.15,7.34603,25816.45508
88.2,7.35016,25802.64453
88.25,7.35437,25788.20312
88.3,7.3585,25774.93164
88.35,7.36262,25761.69141
88.4,7.36674,25748.83789
88.45,7.37096,25734.9375
88.5,7.37508,25721.3125
88.55,7.37921,25707.15039
88.6,7.38352,25693.81055
88.65,7.38764,25679.95508
88.7,7.39176,25668.26367
88.75,7.39598,25652.01562
88.8,7.4001,25636.63477
88.85,7.40432,25622.19141
88.9,7.40844,25609.64844
88.95,7.41266,25596.54688
89,7.41678,25581.05078
89.05,7.42091,25569.30469
89.1,7.42522,25554.29102
89.15,7.42934,25537.88672
89.2,7.43346,25522.4043
89.25,7.43758,25505.90625
89.3,7.4418,25491.83398
89.35,7.44602,25478.5625
89.4,7.45005,25464.85352
89.45,7.45427,25450.29883
89.5,7.45848,25434.94922
89.55,7.4626,25420.9043
89.6,7.46682,25407.34961
89.65,7.47094,25392.64258
89.7,7.47507,25378.21484
89.75,7.47928,25362.59961
89.8,7.4835,25348.16211
89.85,7.48762,25333.55273
89.9,7.49184,25319.66016
89.95,7.49606,25305.05078
90,7.50018,25290.08594
90.05,7.5043,25276.20703
90.1,7.50852,25260.79492
90.15,7.51264,25246.82031
90.2,7.51677,25232.46484
90.25,7.52098,25217.65234
90.3,7.5252,25201.5957
90.35,7.52932,25186.81055
90.4,7.53345,25171.41016
90.45,7.53766,25156.36914
90.5,7.54179,25141.32617
90.55,7.54591,25125.45508
90.6,7.55013,25110.50195
90.65,7.55434,25098.81055
90.7,7.55847,25084.02734
90.75,7.56259,25066.19922
90.8,7.56681,25049.01953
90.85,7.57093,25033.55078
90.9,7.57515,25016.57617
90.95,7.57927,24999.17773
91,7.58349,24982.88867
91.05,7.58761,24966.07812
91.1,7.59183,24949.67578
91.15,7.59595,24932.55664
91.2,7.60017,24917.18164
91.25,7.60429,24901.67578
91.3,7.60851,24885.70703
91.35,7.61263,24870.08789
91.4,7.61675,24853.72656
91.45,7.62097,24837.21094
91.5,7.62509,24821.78906
91.55,7.62931,24805.4668
91.6,7.63343,24788.52734
91.65,7.63765,24770.80469
91.7,7.64177,24754.24219
91.75,7.6459,24737.40625
91.8,7.65011,24720.27148
91.85,7.65433,24702.4668
91.9,7.65845,24685.93164
91.95,7.66267,24667.04492
92,7.66688,24650.67383
92.05,7.67101,24635.16992
92.1,7.67522,24618.49609
