Specimen properties : Length,100,mm
Specimen properties : Thickness,1,mm
Specimen properties : Width,10,mm
Test : Rate 1,5,mm/min
,,
Time,Extension,Load
(s),(mm),(N)
10.55,0.87925,8635.31641
10.6,0.88337,8670.76172
10.65,0.88759,8707.92871
10.7,0.89171,8744.24023
10.75,0.89583,8781.0459
10.8,0.89996,8817.46582
10.85,0.90417,8852.86914
10.9,0.90839,8889.6748
10.95,0.91251,8926.77441
11,0.91673,8963.125
11.05,0.92095,8997.55762
11.1,0.92507,9034.82031
11.15,0.92919,9072.12402
11.2,0.93341,9109.39062
11.25,0.93763,9147.78516
11.3,0.94175,9185.43164
11.35,0.94597,9221.98438
11.4,0.95018,9259.08984
11.45,0.95431,9296.80176
11.5,0.95852,9333.69727
11.55,0.96265,9370.38867
11.6,0.96677,9405.9707
11.65,0.97089,9441.89551
11.7,0.97511,9479.30957
11.75,0.97923,9517.35254
11.8,0.98336,9554.71289
11.85,0.98748,9592.00684
11.9,0.9917,9629.69922
11.95,0.99582,9668.08105
12,1.00004,9705.87793
12.05,1.00425,9742.70898
12.1,1.00838,9780.49512
12.15,1.0125,9816.9873
12.2,1.01672,9856.24023
12.25,1.02093,9894.11914
12.3,1.02506,9932.11035
12.35,1.02927,9967.95117
12.4,1.0334,10005.45215
12.45,1.03761,10043.69141
12.5,1.04174,10080.8623
12.55,1.04595,10117.29688
12.6,1.05008,10154.64551
12.65,1.0542,10190.93945
12.7,1.05842,10226.7168
12.75,1.06254,10264.14062
12.8,1.06666,10301.35645
12.85,1.07079,10338.29785
12.9,1.075,10376.28418
12.95,1.07922,10415.46191
13,1.08344,10453.09277
13.05,1.08765,10489.92383
13.1,1.09178,10528.83301
13.15,1.09599,10566.75977
13.2,1.10021,10603.4707
13.25,1.10433,10643.22852
13.3,1.10855,10683.08789
13.35,1.11267,10720.61621
13.4,1.11689,10757.88379
13.45,1.12101,10797.69238
13.5,1.12523,10836.78613
13.55,1.12935,10874.00977
13.6,1.13347,10913.20801
13.65,1.1376,10950.74414
13.7,1.14181,10987.99902
13.75,1.14584,11024.13867
13.8,1.14997,11065.25098
13.85,1.15418,11104.17871
13.9,1.15831,11144.08496
13.95,1.16252,11184.05371
14,1.16665,11222.50684
14.05,1.17086,11261.22949
14.1,1.17499,11301.37109
14.15,1.1792,11340.13965
14.2,1.18342,11377.78809
14.25,1.18754,11415.05762
14.3,1.19167,11454.42969
14.35,1.19588,11493.00977
14.4,1.2001,11531.80664
14.45,1.20432,11571.54297
14.5,1.20844,11609.84863
14.55,1.21266,11647.56836
14.6,1.21678,11686.4707
14.65,1.2209,11725.4043
14.7,1.22512,11762.88086
14.75,1.22924,11800.62793
14.8,1.23337,11838.33691
14.85,1.23758,11876.61035
14.9,1.24171,11914.15234
14.95,1.24592,11953.22754
15,1.25005,11990.59375
15.05,1.25426,12027.59863
15.1,1.25839,12068.00098
15.15,1.26251,12107.93066
15.2,1.26673,12146.26172
15.25,1.27085,12185.91309
15.3,1.27507,12225.50098
15.35,1.27919,12263.22461
15.4,1.28341,12302.90332
15.45,1.28753,12343.46582
15.5,1.29175,12382.96582
15.55,1.29587,12422.11523
15.6,1.30008,12462.4248
15.65,1.30421,12501.2666
15.7,1.30833,12539.8916
15.75,1.31255,12579.3125
15.8,1.31667,12619.3584
15.85,1.32079,12656.40527
15.9,1.32501,12697.55176
15.95,1.32923,12738.74609
16,1.33335,12779.23242
16.05,1.33757,12818.74512
16.1,1.34169,12858.67285
16.15,1.34591,12898.48047
16.2,1.35003,12939.26953
16.25,1.35425,12980.2998
16.3,1.35846,13018.74023
16.35,1.36259,13056.74316
16.4,1.3668,13094.9541
16.45,1.37093,13134.6377
16.5,1.37514,13174.38379
16.55,1.37927,13212.96387
16.6,1.38339,13252.06055
16.65,1.38761,13291.49414
16.7,1.39173,13330.57422
16.75,1.39585,13368.8584
16.8,1.40007,13408.25391
16.85,1.40419,13446.66309
16.9,1.40841,13483.77148
16.95,1.41253,13522.98145
17,1.41666,13562.01367
17.05,1.42087,13600.26465
17.1,1.425,13638.41992
17.15,1.42921,13678.09277
17.2,1.43334,13717.05371
17.25,1.43755,13758.45996
17.3,1.44177,13797.58887
17.35,1.44589,13836.86621
17.4,1.45011,13874.69727
17.45,1.45423,13913.43652
17.5,1.45836,13953.70508
17.55,1.46257,13993.09766
17.6,1.46679,14032.67676
17.65,1.47091,14072.99316
17.7,1.47504,14112.42676
17.75,1.47916,14151.25391
17.8,1.48338,14191.2627
17.85,1.4875,14232.28809
17.9,1.49171,14271.58691
17.95,1.49593,14311.08691
18,1.50005,14350.85352
18.05,1.50427,14390.88184
18.1,1.50839,14432.15332
18.15,1.51261,14471.89746
18.2,1.51673,14512.87891
18.25,1.52095,14551.85254
18.3,1.52507,14590.37207
18.35,1.5292,14630.50879
18.4,1.53341,14669.48242
18.45,1.53754,14706.88574
18.5,1.54166,14745.36035
18.55,1.54588,14784.08301
18.6,1.55,14823.65625
18.65,1.55422,14863.75586
18.7,1.55834,14903.66016
18.75,1.56256,14943.25879
18.8,1.56668,14982.9541
18.85,1.5708,15023.07031
18.9,1.57502,15062.99512
18.95,1.57924,15101.70117
19,1.58336,15138.64258
19.05,1.58758,15177.57324
19.1,1.5917,15216.76465
19.15,1.59582,15255.73438
19.2,1.60004,15297.78223
19.25,1.60426,15338.46387
19.3,1.60838,15378.44043
19.35,1.6125,15417.91113
19.4,1.61672,15458.45312
19.45,1.62094,15497.28223
19.5,1.62506,15536.37402
19.55,1.62918,15575.77832
19.6,1.6334,15616.34375
19.65,1.63752,15654.74609
19.7,1.64165,15695.12598
19.75,1.64586,15735.29395
19.8,1.64999,15775.88281
19.85,1.6542,15816.41113
19.9,1.65842,15857.02344
19.95,1.66254,15898.80566
20,1.66676,15938.08789
20.05,1.67088,15977.77344
20.1,1.6751,16018.36816
20.15,1.67922,16057.65234
20.2,1.68334,16098.50391
20.25,1.68756,16142.12793
20.3,1.69178,16181.65234
20.35,1.6959,16221.83887
20.4,1.70002,16262.00195
20.45,1.70424,16300.88672
20.5,1.70836,16340.33203
20.55,1.71249,16378.72754
20.6,1.7167,16417.13477
20.65,1.72092,16455.68945
20.7,1.72504,16496.58984
20.75,1.72917,16535.63672
20.8,1.73338,16575.23828
20.85,1.73751,16615.0293
20.9,1.74172,16655.07031
20.95,1.74594,16695.14648
21,1.75006,16732.51562
21.05,1.75419,16771.37891
21.1,1.7584,16809.32422
21.15,1.76253,16846.64844
21.2,1.76674,16887.97852
21.25,1.77087,16929.03711
21.3,1.77508,16968.89453
21.35,1.77921,17007.47852
21.4,1.78342,17049.72852
21.45,1.78764,17088.86719
21.5,1.79167,17128.5957
21.55,1.79579,17168.29297
21.6,1.80001,17207.67969
21.65,1.80413,17247.01172
21.7,1.80835,17287.97656
21.75,1.81247,17329.04688
21.8,1.81669,17369
21.85,1.82081,17409.75977
21.9,1.82503,17453.8125
21.95,1.82925,17495.82031
22,1.83346,17535.90625
22.05,1.83759,17576.23828
22.1,1.8418,17615.89844
22.15,1.84593,17655.25391
22.2,1.85005,17696.18555
22.25,1.85427,17737.69922
22.3,1.85848,17776.85547
22.35,1.86261,17815.76953
22.4,1.86673,17857.52734
22.45,1.87095,17897.7168
22.5,1.87507,17937.36523
22.55,1.87919,17977.59961
22.6,1.88341,18017.55664
22.65,1.88753,18056.9375
22.7,1.89165,18097.13672
22.75,1.89587,18138.20703
22.8,1.89999,18178.25977
22.85,1.90421,18218.9082
22.9,1.90833,18259.93945
22.95,1.91255,18300.19922
23,1.91677,18339.89062
23.05,1.92089,18379.56641
23.1,1.92511,18419.48438
23.15,1.92923,18458.88281
23.2,1.93345,18499.49805
23.25,1.93757,18540.85742
23.3,1.94179,18581.87305
23.35,1.94591,18621.52734
23.4,1.95013,18661.8457
23.45,1.95434,18703.5918
23.5,1.95847,18742.80664
23.55,1.96259,18784.3418
23.6,1.96671,18825.24805
23.65,1.97093,18865.28516
23.7,1.97505,18904.98828
23.75,1.97918,18945.17969
23.8,1.9833,18985.57422
23.85,1.98752,19025.3457
23.9,1.99164,19067.80469
23.95,1.99586,19109.22266
24,2.00007,19150.87695
24.05,2.0042,19192.31836
24.1,2.00832,19234.25195
24.15,2.01263,19275.83789
24.2,2.01675,19316.38867
24.25,2.02088,19357.64062
24.3,2.02509,19398.83008
24.35,2.02922,19440.0625
24.4,2.03343,19481.10938
24.45,2.03756,19521.67188
24.5,2.04177,19561.20703
24.55,2.0459,19601.26758
24.6,2.05002,19641.70898
24.65,2.05424,19681.44531
24.7,2.05836,19721.42969
24.75,2.06248,19762.19336
24.8,2.0667,19803.26562
24.85,2.07092,19843.92773
24.9,2.07513,19884.74414
24.95,2.07926,19925.2168
25,2.08347,19964.57617
25.05,2.08769,20004.65039
25.1,2.09181,20044.79492
25.15,2.09603,20085.26562
25.2,2.10015,20126.65039
25.25,2.10427,20167.27148
25.3,2.10849,20206.2832
25.35,2.11271,20245.59961
25.4,2.11683,20286.08984
25.45,2.12095,20327.85352
25.5,2.12508,20368.5625
25.55,2.12929,20409.82031
25.6,2.13332,20450.82227
25.65,2.13754,20491.01172
25.7,2.14166,20531.03516
25.75,2.14579,20573.11133
25.8,2.15,20613.85742
25.85,2.15422,20654.54297
25.9,2.15825,20697.46289
25.95,2.16247,20740.58008
26,2.16668,20782.89453
26.05,2.1709,20825.73242
26.1,2.17502,20867.72266
26.15,2.17924,20909.08398
26.2,2.18346,20950.45703
26.25,2.18758,20995.42188
26.3,2.1918,21036.11914
26.35,2.19601,21076.4707
26.4,2.20014,21117.4082
26.45,2.20426,21158.59766
26.5,2.20848,21199.41211
26.55,2.2126,21239.53516
