Specimen properties : Length,"100.00000",mm
Specimen properties : Thickness,"1.00000",mm
Specimen properties : Width,"10.00000",mm
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"8.70000","0.72491","6625.76465"
"8.75000","0.72913","6661.17090"
"8.80000","0.73335","6697.42969"
"8.85000","0.73747","6733.47656"
"8.90000","0.74169","6769.41504"
"8.95000","0.74590","6805.60010"
"9.00000","0.75012","6841.38623"
"9.05000","0.75424","6875.86523"
"9.10000","0.75846","6909.91357"
"9.15000","0.76268","6945.03711"
"9.20000","0.76680","6980.19727"
"9.25000","0.77102","7015.99121"
"9.30000","0.77514","7050.96191"
"9.35000","0.77926","7086.88965"
"9.40000","0.78348","7122.05615"
"9.45000","0.78760","7157.47607"
"9.50000","0.79173","7193.44775"
"9.55000","0.79585","7227.93994"
"9.60000","0.80007","7262.96387"
"9.65000","0.80419","7298.19629"
"9.70000","0.80831","7333.93408"
"9.75000","0.81253","7369.07959"
"9.80000","0.81665","7404.08594"
"9.85000","0.82078","7439.89941"
"9.90000","0.82499","7476.45703"
"9.95000","0.82921","7512.85693"
"10.00000","0.83333","7550.04346"
"10.05000","0.83755","7586.58789"
"10.10000","0.84177","7622.63770"
"10.15000","0.84589","7658.64551"
"10.20000","0.85011","7694.04248"
"10.25000","0.85432","7730.97852"
"10.30000","0.85845","7767.52832"
"10.35000","0.86266","7803.51172"
"10.40000","0.86679","7840.61719"
"10.45000","0.87091","7876.84619"
"10.50000","0.87513","7913.45459"
"10.55000","0.87925","7950.64404"
"10.60000","0.88337","7985.91504"
"10.65000","0.88759","8023.57422"
"10.70000","0.89171","8059.97852"
"10.75000","0.89593","8097.31104"
"10.80000","0.90015","8134.73096"
"10.85000","0.90417","8171.57861"
"10.90000","0.90839","8209.03223"
"10.95000","0.91261","8245.78223"
"11.00000","0.91673","8282.80176"
"11.05000","0.92085","8320.04004"
"11.10000","0.92507","8356.74902"
"11.15000","0.92929","8392.95117"
"11.20000","0.93341","8430.75000"
"11.25000","0.93763","8467.87500"
"11.30000","0.94175","8503.97949"
"11.35000","0.94597","8541.42871"
"11.40000","0.95009","8578.14062"
"11.45000","0.95421","8614.18457"
"11.50000","0.95843","8651.86914"
"11.55000","0.96255","8689.72070"
"11.60000","0.96677","8726.67676"
"11.65000","0.97089","8763.19043"
"11.70000","0.97502","8800.41211"
"11.75000","0.97914","8837.43652"
"11.80000","0.98336","8874.99219"
"11.85000","0.98748","8912.47070"
"11.90000","0.99160","8950.71387"
"11.95000","0.99582","8988.38086"
"12.00000","1.00004","9025.76562"
"12.05000","1.00416","9063.65430"
"12.10000","1.00828","9101.75586"
"12.15000","1.01250","9139.47949"
"12.20000","1.01662","9177.59863"
"12.25000","1.02084","9215.95605"
"12.30000","1.02515","9253.66602"
"12.35000","1.02927","9291.66309"
"12.40000","1.03340","9329.63770"
"12.45000","1.03752","9366.37695"
"12.50000","1.04174","9404.95312"
"12.55000","1.04586","9443.56934"
"12.60000","1.04998","9481.29102"
"12.65000","1.05420","9519.03516"
"12.70000","1.05832","9556.08887"
"12.75000","1.06254","9593.06543"
"12.80000","1.06676","9631.49023"
"12.85000","1.07088","9669.97559"
"12.90000","1.07500","9708.78809"
"12.95000","1.07922","9747.05469"
"13.00000","1.08334","9786.09766"
"13.05000","1.08746","9824.91406"
"13.10000","1.09168","9862.51562"
"13.15000","1.09590","9901.23340"
"13.20000","1.10002","9939.69336"
"13.25000","1.10414","9977.81152"
"13.30000","1.10836","10016.22852"
"13.35000","1.11248","10054.84277"
"13.40000","1.11661","10093.41699"
"13.45000","1.12082","10130.94141"
"13.50000","1.12504","10170.30957"
"13.55000","1.12916","10209.95410"
"13.60000","1.13338","10248.15332"
"13.65000","1.13750","10284.50000"
"13.70000","1.14163","10323.65137"
"13.75000","1.14584","10362.87207"
"13.80000","1.15006","10400.93945"
"13.85000","1.15418","10437.56641"
"13.90000","1.15840","10478.93848"
"13.95000","1.16252","10517.51270"
"14.00000","1.16665","10557.49609"
"14.05000","1.17077","10597.81641"
"14.10000","1.17508","10637.25977"
"14.15000","1.17920","10677.61523"
"14.20000","1.18333","10717.05566"
"14.25000","1.18754","10754.81152"
"14.30000","1.19176","10792.79297"
"14.35000","1.19588","10831.69238"
"14.40000","1.20001","10871.25684"
"14.45000","1.20413","10910.72949"
"14.50000","1.20835","10951.13867"
"14.55000","1.21247","10991.02734"
"14.60000","1.21669","11030.91992"
"14.65000","1.22081","11071.17676"
"14.70000","1.22503","11111.43555"
"14.75000","1.22915","11151.79688"
"14.80000","1.23337","11190.76270"
"14.85000","1.23758","11229.52734"
"14.90000","1.24171","11269.19727"
"14.95000","1.24592","11308.59668"
"15.00000","1.25005","11349.13867"
"15.05000","1.25417","11389.54102"
"15.10000","1.25839","11429.11914"
"15.15000","1.26251","11469.29297"
"15.20000","1.26673","11510.05664"
"15.25000","1.27085","11550.67188"
"15.30000","1.27507","11589.98340"
"15.35000","1.27919","11628.94238"
"15.40000","1.28331","11668.26367"
"15.45000","1.28753","11708.31738"
"15.50000","1.29165","11749.14062"
"15.55000","1.29587","11789.90918"
"15.60000","1.29999","11830.00000"
"15.65000","1.30421","11869.66309"
"15.70000","1.30833","11910.87891"
"15.75000","1.31245","11950.62891"
"15.80000","1.31667","11990.45898"
"15.85000","1.32089","12029.80469"
"15.90000","1.32501","12070.33398"
"15.95000","1.32923","12110.70801"
"16.00000","1.33335","12151.18066"
"16.05000","1.33747","12192.80469"
"16.10000","1.34169","12232.40234"
"16.15000","1.34591","12272.67773"
"16.20000","1.35003","12313.48340"
"16.25000","1.35415","12355.12207"
"16.30000","1.35837","12394.62402"
"16.35000","1.36259","12434.37207"
"16.40000","1.36671","12474.61816"
"16.45000","1.37083","12513.14258"
"16.50000","1.37505","12553.66211"
"16.55000","1.37917","12594.34082"
"16.60000","1.38330","12636.01465"
"16.65000","1.38751","12676.60547"
"16.70000","1.39164","12717.29883"
"16.75000","1.39585","12760.45996"
"16.80000","1.40007","12801.14648"
"16.85000","1.40419","12841.45996"
"16.90000","1.40832","12883.20312"
"16.95000","1.41253","12923.48340"
"17.00000","1.41675","12962.51465"
"17.05000","1.42087","13003.42676"
"17.10000","1.42500","13044.72656"
"17.15000","1.42921","13085.15527"
"17.20000","1.43334","13125.49902"
"17.25000","1.43755","13167.13867"
"17.30000","1.44177","13208.07812"
"17.35000","1.44589","13248.55273"
"17.40000","1.45002","13289.00195"
"17.45000","1.45414","13329.29883"
"17.50000","1.45836","13369.12793"
"17.55000","1.46248","13408.65918"
"17.60000","1.46660","13447.53906"
"17.65000","1.47082","13489.07520"
"17.70000","1.47504","13529.92383"
"17.75000","1.47916","13571.18359"
"17.80000","1.48328","13612.56250"
"17.85000","1.48750","13653.40918"
"17.90000","1.49171","13693.85547"
"17.95000","1.49584","13734.54297"
